Wops,Nops,Wera,Nera
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.777,.718,4.93,3.63
.777,.715,4.88,3.65
.768,.736,4.96,4.02
.768,.740,4.99,4.02
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.777,.718,4.93,3.63
.777,.715,4.88,3.65
.768,.736,4.96,4.02
.768,.740,4.99,4.02
.773,.750,4.91,3.76
.771,.751,4.92,3.74
.769,.754,4.94,3.72
.759,.759,5.05,3.69
.757,.760,5.07,3.67
.757,.761,5.06,3.66
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.777,.718,4.93,3.63
.777,.715,4.88,3.65
.768,.736,4.96,4.02
.768,.740,4.99,4.02
.773,.750,4.91,3.76
.771,.751,4.92,3.74
.769,.754,4.94,3.72
.759,.759,5.05,3.69
.757,.760,5.07,3.67
.757,.761,5.06,3.66
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.777,.718,4.93,3.63
.777,.715,4.88,3.65
.768,.736,4.96,4.02
.768,.740,4.99,4.02
.773,.750,4.91,3.76
.771,.751,4.92,3.74
.769,.754,4.94,3.72
.759,.759,5.05,3.69
.757,.760,5.07,3.67
.757,.761,5.06,3.66
.728,.673,4.96,4.33
.727,.681,5.09,4.29
.746,.674,4.95,4.55
.775,.668,4.88,5.14
.776,.668,4.85,5.14
.774,.670,4.88,5.10
.751,.680,4.90,5.59
.752,.681,4.83,5.62
.746,.690,4.84,5.51
.776,.710,4.88,5.54
.775,.712,4.92,5.52
.776,.715,4.92,5.53
.777,.713,4.88,5.53
.764,.814,4.98,4.76
.763,.819,5.05,4.76
.764,.819,5.04,4.81
.764,.818,5.02,4.81
.760,.827,5.03,4.65
.762,.826,5.01,4.69
.762,.826,5.01,4.68
.644,.826,3.83,5.47
.650,.820,3.91,5.43
.767,.800,4.96,3.85
.777,.718,4.93,3.63
.777,.715,4.88,3.65
.768,.736,4.96,4.02
.768,.740,4.99,4.02
.773,.750,4.91,3.76
.771,.751,4.92,3.74
.769,.754,4.94,3.72
.759,.759,5.05,3.69
.757,.760,5.07,3.67
.757,.761,5.06,3.66
.728,.673,4.96,4.33
.727,.681,5.09,4.29
.746,.674,4.95,4.55
.775,.668,4.88,5.14
.776,.668,4.85,5.14
.774,.670,4.88,5.10
.731,.822,4.90,3.57
.730,.831,5.05,3.59
.774,.810,4.88,3.84
.770,.810,4.87,3.80
.775,.816,4.94,3.86
.783,.817,4.85,3.94
.784,.816,4.82,3.96
.782,.818,4.88,3.94
.781,.818,4.89,3.91
.766,.835,5.03,3.71
.766,.836,5.03,3.70
.765,.837,5.08,3.69
.751,.849,5.12,3.71
.752,.848,5.11,3.74
.752,.851,5.16,3.74
.749,.848,5.10,3.68
.746,.847,5.09,3.66
.745,.846,5.10,3.65
.746,.848,5.12,3.66
