Wops(A),Pops(A),Wera(D),Pera(D),winsW
.728,.681,4.27,4.06,0
.731,.682,4.30,4.13,1
.734,.689,4.37,4.19,1
.736,.677,4.05,4.09,0
.737,.676,4.05,4.12,1
.734,.678,4.03,4.09,0
.764,.582,4.90,4.81,1
.765,.579,4.81,4.74,1
.762,.582,4.73,4.72,1
.755,.677,5.15,4.55,1
.754,.678,5.15,4.54,0
.758,.681,5.17,4.58,1
.755,.681,5.15,4.55,0
.771,.737,3.42,4.65,0
.769,.740,3.48,4.65,0
.765,.741,3.51,4.61,0
.773,.733,3.50,4.67,1
.772,.735,3.52,4.66,0
.778,.736,3.52,4.71,1
.704,.748,3.64,3.87,1
.703,.745,3.60,3.86,1
.702,.744,3.62,3.83,0
.714,.748,3.52,3.73,0
.716,.748,3.52,3.75,1
.714,.749,3.52,3.74,0
.714,.751,3.56,3.75,0
.822,.841,5.59,4.72,1
.804,.821,5.36,4.53,1
.803,.807,5.13,4.44,1
.784,.771,4.31,4.51,1
.776,.768,4.25,4.42,0
.775,.773,4.29,4.41,0
.777,.773,4.31,4.38,0
