Wops(A),Pops(A),Wera(D),Pera(D),winsW
.725,.712,4.18,3.83,1
.723,.712,4.27,3.81,0
.720,.709,4.24,3.82,1
.735,.715,4.07,3.60,0
.733,.714,4.06,3.57,0
.733,.715,4.07,3.57,0
.851,.920,8.25,2.33,0
.815,.836,7.00,2.52,1
.746,.826,6.50,2.42,0
.738,.847,6.57,2.52,0
.758,.778,4.78,2.61,0
.754,.777,4.79,2.62,0
.754,.773,4.74,2.62,1
.773,.765,3.53,3.92,0
.770,.761,3.50,3.90,1
.773,.763,3.54,3.96,1
.769,.762,3.58,3.97,0
.770,.760,3.57,3.98,1
.768,.762,3.59,3.97,0
.704,.773,3.65,3.72,1
.705,.770,3.63,3.74,1
.703,.768,3.60,3.71,0
.705,.769,3.64,3.73,0
.710,.749,3.71,3.63,0
.708,.750,3.75,3.61,0
.711,.747,3.72,3.65,1
.789,.811,5.15,4.35,0
.804,.793,4.90,4.38,1
.789,.787,4.75,4.21,0
.810,.786,4.24,4.28,1
.799,.801,4.41,4.14,0
.794,.796,4.36,4.07,0
