Wops(A),Pops(A),Wera(D),Pera(D),winsW
.726,.712,4.09,4.04,1
.724,.713,4.08,4.01,0
.726,.712,4.07,4.01,1
.731,.710,4.01,4.02,1
.732,.710,4.00,4.04,1
.736,.712,4.03,4.10,1
.735,.710,3.99,4.09,1
.757,.701,4.78,5.29,0
.753,.702,4.77,5.24,0
.756,.703,4.80,5.28,1
.754,.717,5.12,4.96,1
.751,.721,5.18,4.92,0
.753,.720,5.15,4.96,1
.776,.779,3.39,5.16,1
.771,.781,3.43,5.10,0
.771,.778,3.41,5.05,0
.770,.768,3.49,5.28,1
.768,.769,3.49,5.24,0
.771,.769,3.48,5.31,1
.660,.700,3.36,5.01,1
.658,.699,3.34,5.00,1
.662,.701,3.40,4.98,0
.716,.735,3.58,4.68,0
.716,.735,3.60,4.66,0
.720,.734,3.58,4.70,1
.776,.745,4.32,4.26,1
.774,.742,4.29,4.24,1
.772,.743,4.29,4.22,0
.765,.744,4.31,4.22,0
.762,.741,4.28,4.21,1
.760,.741,4.28,4.18,0
