Wops(A),Pops(A),Wera(D),Pera(D),winsW
.651,.781,4.03,4.00,0
.680,.781,4.08,4.42,1
.694,.764,3.88,4.62,1
.703,.778,4.12,5.40,1
.708,.766,4.00,5.38,1
.718,.755,4.24,4.87,0
.721,.753,4.25,4.92,1
.720,.754,4.25,4.91,0
.723,.744,4.27,4.91,1
.725,.740,4.25,4.90,1
.726,.740,4.24,4.89,1
.727,.742,4.26,4.88,0
.731,.753,4.02,5.10,0
.734,.755,4.02,5.11,1
.734,.754,4.01,5.11,1
.734,.758,4.05,5.10,0
.735,.749,3.98,5.07,1
.736,.748,3.96,5.05,1
.737,.748,3.97,5.08,1
.793,1.164,10.00,5.00,0
.991,1.024,8.00,8.47,1
.858,.954,6.67,6.23,0
.791,.835,4.89,5.66,0
.783,.838,4.90,5.50,0
.779,.832,4.94,5.39,0
.772,.803,4.73,5.06,1
.777,.790,4.63,5.06,1
.781,.798,4.68,5.12,0
.758,.793,4.43,4.96,1
.764,.796,4.45,5.03,1
.766,.803,4.54,5.04,0
.767,.808,4.60,5.07,0
.751,.801,5.19,4.87,0
.752,.802,5.18,4.89,1
.753,.801,5.18,4.91,1
.751,.796,5.25,4.87,1
.756,.795,5.24,4.91,1
.760,.797,5.25,4.93,1
.776,.762,3.90,4.69,0
.777,.772,4.03,4.74,0
.770,.750,3.81,4.58,1
.766,.740,3.73,4.45,1
.758,.751,3.91,4.34,0
.748,.755,3.87,4.27,0
.781,.781,3.44,4.11,0
.787,.781,3.45,4.27,1
.788,.778,3.45,4.35,1
.782,.758,3.41,4.49,0
.783,.754,3.39,4.49,1
.782,.752,3.38,4.49,1
.770,.779,3.65,4.64,1
.770,.777,3.63,4.64,1
.770,.775,3.61,4.64,1
.771,.780,3.62,4.59,0
.770,.780,3.62,4.58,0
.772,.778,3.61,4.60,1
.773,.776,3.58,4.62,1
.873,.769,2.00,9.00,1
.841,.849,4.50,9.56,1
.740,.764,3.67,6.12,0
.685,.725,3.41,4.78,1
.693,.727,3.43,4.81,1
.696,.725,3.43,4.86,1
.708,.740,3.48,4.79,1
.706,.750,3.65,4.76,0
.705,.751,3.66,4.72,0
.704,.760,3.69,4.72,0
.703,.760,3.71,4.72,0
.704,.757,3.68,4.73,1
.713,.754,3.62,4.49,0
.714,.754,3.62,4.50,1
.713,.756,3.63,4.50,0
.713,.759,3.68,4.49,0
.710,.746,3.74,4.46,0
.708,.745,3.74,4.43,0
.707,.744,3.73,4.40,0
.794,.722,4.21,4.57,1
.803,.715,4.14,4.70,1
.803,.717,4.24,4.76,0
.774,.767,4.04,5.09,0
.773,.768,4.08,5.03,0
.775,.770,4.09,5.01,0
.782,.780,4.20,5.09,0
.779,.798,4.22,5.23,0
.778,.799,4.24,5.20,0
.779,.799,4.26,5.17,0
.768,.783,4.30,5.17,1
.770,.782,4.28,5.16,1
.770,.779,4.27,5.16,1
.774,.781,4.33,5.57,1
.776,.782,4.32,5.60,1
.778,.783,4.35,5.60,0
.779,.787,4.41,5.54,1
.779,.788,4.40,5.52,1
.777,.789,4.42,5.50,0
.655,.770,5.63,3.42,1
.675,.783,5.81,3.64,0
.697,.809,5.87,3.99,1
.684,.744,5.16,4.56,0
.692,.749,5.16,4.55,0
.694,.756,5.25,4.63,0
.692,.711,4.78,5.45,1
.700,.714,4.80,5.58,1
.695,.719,4.88,5.49,0
.704,.716,4.84,5.59,1
