Wops(A),Pops(A),Wera(D),Pera(D),winsW
.729,.735,4.02,3.51,1
.725,.740,4.07,3.49,0
.725,.741,4.07,3.47,0
.738,.750,4.04,3.58,0
.737,.752,4.05,3.57,0
.738,.752,4.04,3.57,1
.772,.716,4.80,4.31,0
.769,.723,4.86,4.31,0
.766,.724,4.85,4.28,0
.762,.717,4.76,4.26,1
.768,.845,3.56,4.23,1
.768,.847,3.61,4.23,0
.769,.849,3.64,4.24,0
.770,.845,3.61,4.22,1
.713,.727,3.12,2.65,0
.714,.726,3.12,2.69,1
.710,.724,3.05,2.68,1
.713,.758,3.67,3.11,1
.713,.760,3.70,3.12,0
.712,.761,3.70,3.12,0
.539,.766,5.59,3.35,0
.623,.783,5.71,4.30,1
.643,.780,5.58,4.39,1
.681,.720,5.03,4.41,1
.679,.716,5.01,4.37,0
.678,.716,4.98,4.32,0
