Wops(A),Pops(A),Wera(D),Pera(D),winsW
.652,.870,4.38,3.72,1
.677,.771,3.52,4.06,1
.674,.857,4.09,4.05,0
.681,.832,4.09,3.25,0
.686,.838,4.19,3.29,0
.675,.820,4.00,3.09,0
.723,.776,4.38,3.36,0
.721,.775,4.37,3.32,0
.725,.777,4.41,3.36,0
.718,.764,4.30,3.24,1
.719,.765,4.32,3.24,0
.720,.765,4.31,3.24,0
.736,.744,4.02,3.42,1
.737,.748,4.05,3.43,0
.736,.748,4.05,3.43,0
.738,.745,4.03,3.39,1
.740,.743,4.00,3.42,1
.738,.742,4.01,3.41,0
.737,.743,4.02,3.40,0
.761,.748,6.00,3.80,1
.741,.741,5.63,3.49,0
.715,.737,5.63,3.34,0
.758,.679,4.62,3.35,1
.755,.684,4.65,3.34,0
.752,.683,4.63,3.32,0
.762,.713,4.85,3.47,0
.760,.712,4.79,3.44,1
.760,.714,4.79,3.47,1
.752,.715,4.90,3.52,0
.752,.715,4.86,3.52,1
.749,.721,4.93,3.51,0
.750,.736,5.22,3.79,0
.748,.736,5.21,3.77,0
.747,.735,5.20,3.75,0
.759,.728,5.23,3.71,1
.758,.727,5.20,3.70,0
.757,.728,5.21,3.69,0
.760,.728,5.22,3.71,1
.758,.758,4.13,2.63,0
.732,.782,4.33,2.75,0
.730,.756,4.06,2.77,1
.736,.743,3.84,2.86,1
.735,.743,3.63,3.51,1
.764,.750,3.71,3.91,1
.755,.754,3.83,3.80,0
.780,.790,3.39,3.22,0
.776,.787,3.37,3.18,0
.776,.788,3.39,3.19,0
.770,.800,3.52,3.09,1
.769,.798,3.52,3.08,0
.770,.798,3.55,3.11,0
.766,.789,3.66,3.13,1
.767,.787,3.66,3.16,1
.769,.785,3.64,3.20,1
.774,.779,3.59,3.32,1
.771,.777,3.57,3.30,1
.770,.775,3.55,3.29,1
.780,.632,3.86,1.79,1
.794,.596,3.35,2.47,1
.778,.549,2.85,2.58,1
.733,.659,3.04,3.71,1
.752,.655,2.90,4.09,1
.733,.663,3.12,3.95,0
.738,.723,2.96,4.03,1
.743,.719,2.93,4.04,1
.737,.714,2.90,3.94,0
.728,.715,2.96,3.85,0
.717,.719,3.08,3.91,1
.716,.718,3.17,3.88,0
.718,.759,3.52,3.44,1
.716,.758,3.52,3.43,0
.715,.757,3.51,3.42,0
.714,.756,3.51,3.41,0
.707,.768,3.75,3.38,0
.708,.769,3.75,3.38,1
.710,.767,3.74,3.41,1
.833,1.452,13.50,5.00,0
.696,1.056,6.86,2.86,1
.747,1.170,10.24,3.48,0
.776,1.086,9.24,4.28,0
.777,.818,4.14,3.44,0
.770,.821,4.21,3.38,0
.766,.816,4.16,3.37,1
.776,.816,4.35,3.22,1
.773,.815,4.34,3.19,0
.772,.812,4.31,3.22,1
.768,.818,4.35,3.40,0
.767,.818,4.35,3.41,0
.775,.802,4.27,3.32,1
.772,.801,4.28,3.29,0
.772,.806,4.32,3.29,0
.772,.814,4.38,3.39,1
.773,.813,4.38,3.39,1
.774,.814,4.38,3.42,1
.771,.814,4.37,3.41,0
.556,.757,5.34,2.15,0
.580,.763,5.03,2.04,1
.559,.796,5.73,2.04,0
.533,.787,5.44,1.84,0
.681,.805,5.12,2.77,0
.676,.796,5.00,2.71,0
.669,.794,4.99,2.67,0
.671,.808,5.02,2.93,0
.668,.804,5.00,2.92,0
.672,.806,4.93,2.95,1
