Wops(A),Pops(A),Wera(D),Pera(D),winsW
.725,.688,4.33,4.10,1
.724,.684,4.27,4.04,1
.722,.678,4.18,4.09,1
.724,.680,4.23,4.16,1
.726,.687,4.20,3.80,1
.723,.687,4.19,3.76,0
.722,.688,4.18,3.75,0
.776,.763,5.03,4.36,0
.775,.761,5.01,4.31,0
.764,.760,5.00,4.15,0
.757,.730,4.76,4.03,0
.757,.732,4.73,4.05,1
.758,.726,4.66,4.08,1
.772,.742,3.54,4.51,1
.771,.746,3.59,4.52,0
.762,.745,3.59,4.43,0
.761,.749,3.62,4.44,0
.772,.757,3.66,4.78,1
.773,.759,3.68,4.79,0
.772,.758,3.67,4.77,1
.673,.645,3.36,5.02,1
.676,.648,3.34,5.05,1
.678,.646,3.30,5.06,1
.703,.670,3.49,4.86,0
.703,.670,3.47,4.85,1
.701,.667,3.44,4.82,1
.702,.666,3.40,4.81,1
.773,.653,4.27,4.31,0
.773,.654,4.25,4.36,1
.770,.656,4.25,4.33,0
.770,.658,4.32,4.34,0
.760,.665,4.27,4.72,1
.762,.669,4.32,4.73,0
.762,.670,4.31,4.73,1
