Wops(A),Pops(A),Wera(D),Pera(D),winsW
.727,.666,4.25,4.62,1
.730,.663,4.23,4.67,1
.732,.664,4.21,4.61,0
.726,.709,4.17,4.16,1
.725,.708,4.15,4.13,0
.723,.705,4.11,4.11,1
.724,.702,4.07,4.10,1
.755,.717,4.83,4.32,0
.754,.718,4.88,4.30,0
.754,.716,4.84,4.28,1
.753,.717,4.85,4.27,0
.744,.721,5.03,4.23,1
.744,.728,5.12,4.24,0
.747,.727,5.10,4.28,1
.792,.774,3.56,4.30,1
.789,.772,3.52,4.28,1
.782,.770,3.58,4.21,0
.781,.776,3.67,4.23,0
.771,.771,3.64,4.07,0
.770,.766,3.62,4.06,1
.777,.763,3.58,4.17,1
.689,.703,3.25,3.53,0
.683,.697,3.20,3.50,1
.680,.704,3.31,3.47,0
.666,.713,3.35,3.44,0
.663,.709,3.31,3.36,0
.660,.715,3.40,3.34,0
.773,.777,4.20,4.56,0
.776,.779,4.23,4.61,1
.775,.780,4.26,4.59,0
.775,.780,4.29,4.58,0
.774,.776,4.44,4.71,0
.772,.776,4.44,4.67,0
.772,.776,4.42,4.68,1
