Wops(A),Pops(A),Wera(D),Pera(D),winsW
.733,.674,4.36,3.36,0
.735,.672,4.32,3.44,1
.733,.673,4.26,3.42,1
.728,.681,4.29,3.39,0
.728,.655,4.21,3.24,0
.726,.655,4.21,3.23,0
.724,.660,4.22,3.23,0
.748,.714,5.08,3.42,1
.747,.710,5.04,3.40,1
.749,.708,5.00,3.45,1
.751,.706,5.09,3.48,1
.751,.710,5.09,3.48,0
.755,.711,5.09,3.56,1
.780,.736,3.80,5.13,1
.779,.732,3.81,5.15,1
.780,.734,3.79,5.13,1
.764,.755,3.72,4.83,1
.764,.755,3.72,4.84,1
.763,.755,3.72,4.81,0
.762,.754,3.71,4.80,1
.675,.693,3.27,4.22,0
.676,.699,3.31,4.21,0
.671,.702,3.33,4.14,0
.706,.672,3.52,4.11,1
.710,.672,3.50,4.16,1
.707,.674,3.52,4.11,0
.705,.677,3.54,4.10,0
.781,.742,4.22,4.54,0
.781,.741,4.22,4.55,1
.783,.737,4.16,4.60,1
.770,.768,4.28,4.40,0
.770,.766,4.28,4.38,0
.768,.770,4.31,4.35,0
.766,.773,4.33,4.33,0
