Wops(A),Pops(A),Wera(D),Pera(D),winsW
.738,.622,4.30,4.22,0
.738,.632,4.39,4.21,0
.733,.643,4.44,4.10,0
.732,.680,4.06,4.61,1
.737,.679,4.03,4.69,1
.738,.682,4.05,4.70,0
.760,.647,4.59,4.32,1
.762,.644,4.54,4.31,1
.762,.639,4.48,4.32,1
.760,.636,4.43,4.30,1
.764,.664,4.65,4.36,0
.766,.667,4.64,4.34,0
.767,.671,4.66,4.37,0
.781,.698,3.46,4.94,1
.779,.697,3.43,4.94,1
.782,.700,3.43,4.94,1
.785,.703,3.44,4.88,0
.787,.701,3.42,4.93,1
.783,.700,3.38,4.87,1
.784,.696,3.35,4.90,1
.721,.692,2.80,3.23,1
.709,.698,2.91,3.13,0
.726,.697,2.87,3.33,1
.717,.715,3.63,3.74,1
.716,.714,3.62,3.73,0
.719,.711,3.59,3.75,1
.782,.744,4.07,4.30,1
.780,.747,4.11,4.30,0
.776,.741,4.05,4.26,1
.773,.743,4.34,4.58,0
.776,.744,4.33,4.61,1
.776,.743,4.30,4.62,1
