Wops(A),Pops(A),Wera(D),Pera(D),winsW
.670,.645,3.85,3.20,0
.664,.638,3.74,3.07,0
.651,.650,3.98,2.91,0
.734,.716,4.00,3.20,1
.732,.717,4.01,3.21,0
.729,.718,4.01,3.19,0
.768,.809,4.32,4.25,0
.768,.794,4.15,4.38,1
.784,.808,4.39,4.57,0
.772,.789,4.59,4.16,0
.773,.791,4.61,4.16,0
.774,.795,4.67,4.11,0
.750,.668,3.79,3.98,1
.762,.665,3.80,4.19,1
.764,.665,3.78,4.16,0
.770,.670,3.82,4.14,0
.778,.699,3.69,4.22,0
.774,.693,3.62,4.19,1
.776,.690,3.59,4.18,1
.698,.734,3.45,4.27,1
.702,.738,3.50,4.33,1
.701,.738,3.53,4.33,0
.709,.735,3.55,4.27,1
.703,.728,3.48,4.20,1
.706,.724,3.46,4.24,1
.705,.720,3.42,4.22,1
.803,.674,4.72,3.02,1
.791,.669,4.56,2.97,1
.807,.676,4.46,3.29,1
.807,.662,4.29,3.36,1
.786,.680,4.25,4.26,1
.779,.687,4.29,4.21,0
.784,.681,4.22,4.36,1
