Wops(A),Pops(A),Wera(D),Pera(D),winsW
.696,.741,4.08,2.96,1
.664,.748,4.25,2.74,0
.667,.755,4.16,2.67,0
.728,.697,3.86,4.14,1
.733,.710,3.93,4.16,0
.726,.714,3.96,4.12,0
.724,.709,3.86,4.07,1
.723,.668,4.14,4.16,1
.720,.673,4.18,4.12,0
.716,.672,4.15,4.11,1
.716,.670,4.24,4.13,0
.714,.675,4.28,4.10,0
.713,.675,4.28,4.11,1
.736,.687,4.08,4.06,0
.736,.687,4.08,4.08,1
.736,.686,4.08,4.07,0
.736,.689,4.01,4.13,1
.734,.689,4.01,4.11,0
.736,.688,3.99,4.11,1
.717,.598,5.29,4.83,1
.698,.615,5.04,4.38,0
.726,.610,4.74,4.58,1
.770,.646,4.77,3.90,0
.774,.649,4.80,3.99,1
.774,.646,4.76,4.04,1
.767,.697,4.68,4.55,0
.768,.700,4.68,4.59,1
.771,.705,4.77,4.60,0
.757,.699,5.11,4.61,0
.758,.701,5.13,4.59,0
.755,.699,5.09,4.55,1
.752,.701,5.13,4.52,0
.758,.688,5.21,4.46,0
.757,.688,5.21,4.43,0
.756,.687,5.19,4.42,1
.751,.690,5.11,4.42,1
.752,.690,5.11,4.43,1
.752,.689,5.09,4.43,1
.743,.652,3.71,4.93,1
.719,.643,3.56,4.61,0
.711,.641,3.55,4.39,0
.760,.647,3.89,4.63,1
.782,.651,3.84,4.86,1
.782,.669,4.03,4.87,0
.788,.661,3.94,4.94,1
.792,.660,3.73,4.74,1
.796,.654,3.66,4.84,1
.788,.657,3.66,4.75,0
.761,.657,3.59,4.67,1
.763,.659,3.60,4.72,1
.771,.658,3.59,4.90,1
.770,.697,3.59,4.45,0
.772,.698,3.62,4.47,0
.772,.697,3.61,4.47,1
.767,.691,3.57,4.60,0
.766,.691,3.59,4.59,0
.768,.694,3.61,4.61,1
.697,.668,2.82,3.76,0
.710,.665,2.78,3.88,1
.706,.653,2.75,3.91,1
.700,.666,3.52,4.14,0
.698,.663,3.49,4.13,1
.709,.666,3.51,4.29,1
.705,.665,3.48,4.24,0
.706,.662,3.62,4.39,1
.708,.661,3.63,4.43,1
.710,.661,3.63,4.43,1
.719,.672,3.58,4.39,1
.722,.672,3.58,4.43,1
.722,.672,3.61,4.44,0
.724,.672,3.61,4.44,1
.713,.674,3.53,4.39,0
.713,.672,3.51,4.39,1
.708,.677,3.72,4.41,0
.708,.676,3.72,4.42,1
.707,.677,3.72,4.40,0
.822,.651,8.02,2.80,1
.885,.687,7.53,3.67,1
.850,.682,7.14,3.29,0
.824,.731,6.00,3.41,0
.793,.719,5.71,3.25,0
.793,.728,5.67,3.30,0
.812,.725,5.56,3.60,1
.772,.689,4.14,3.94,0
.768,.685,4.13,3.90,0
.762,.691,4.15,3.86,0
.776,.735,4.36,4.60,1
.775,.734,4.34,4.59,1
.775,.731,4.32,4.59,1
.761,.722,4.28,4.62,1
.760,.721,4.26,4.62,1
.760,.722,4.27,4.61,0
.758,.716,4.27,4.61,1
.759,.718,4.27,4.62,1
.757,.718,4.25,4.60,1
.586,.772,7.88,2.00,0
.509,.838,6.75,1.50,0
.551,.774,5.40,2.33,1
.533,.781,5.73,2.25,0
.619,.765,5.43,4.35,0
.619,.762,5.19,4.26,1
.626,.795,5.48,4.31,0
.695,.751,5.62,4.55,1
.706,.759,5.64,4.69,1
.708,.753,5.51,4.73,1
