Wops(A),Pops(A),Wera(D),Pera(D),winsW
.712,.807,4.00,4.00,0
.806,.854,5.00,5.82,1
.689,.873,5.00,3.81,0
.680,.650,4.21,3.74,1
.716,.628,3.83,4.09,1
.703,.641,3.80,3.86,0
.698,.640,3.58,3.94,1
.726,.737,4.34,3.76,1
.723,.733,4.31,3.77,1
.722,.732,4.24,3.74,1
.727,.736,4.22,3.82,0
.728,.737,4.26,3.82,0
.726,.735,4.23,3.79,0
.735,.730,4.05,3.75,1
.733,.731,4.07,3.73,0
.733,.730,4.04,3.72,1
.734,.735,4.05,3.65,1
.736,.734,4.02,3.66,1
.735,.733,4.03,3.64,0
.749,.758,4.82,4.68,1
.749,.741,4.51,4.57,1
.741,.732,4.30,4.41,1
.747,.714,4.17,4.50,1
.780,.746,4.66,4.14,0
.775,.747,4.62,4.06,0
.769,.750,4.63,4.03,0
.767,.744,4.57,3.96,0
.768,.743,4.68,3.64,0
.768,.743,4.64,3.67,1
.768,.741,4.64,3.65,0
.770,.740,4.77,3.61,0
.767,.741,4.77,3.59,0
.761,.742,4.77,3.55,0
.752,.738,5.13,3.73,1
.751,.738,5.12,3.72,0
.747,.727,5.20,3.73,0
.747,.731,5.24,3.72,0
.748,.731,5.24,3.72,0
.842,1.008,5.00,6.23,1
.760,.965,5.50,5.09,0
.817,.907,5.67,5.26,1
.875,.828,5.00,6.42,1
.827,.739,3.55,4.92,0
.812,.742,3.49,4.81,1
.792,.742,3.78,4.52,0
.771,.681,3.52,4.60,1
.771,.682,3.53,4.58,0
.769,.682,3.53,4.56,0
.761,.688,3.69,4.49,1
.761,.687,3.67,4.48,1
.764,.685,3.64,4.53,1
.771,.686,3.57,4.63,1
.770,.683,3.54,4.61,1
.769,.685,3.57,4.59,0
.772,.687,3.69,4.50,0
.773,.688,3.68,4.54,1
.773,.687,3.67,4.54,1
.714,.647,2.56,2.86,1
.715,.651,2.70,2.97,0
.723,.646,2.72,3.32,1
.712,.634,2.93,3.56,1
.716,.644,2.97,3.51,0
.719,.636,2.87,3.50,1
.676,.739,3.42,4.37,0
.675,.737,3.39,4.33,1
.676,.740,3.41,4.32,0
.700,.721,3.38,4.01,0
.698,.724,3.43,3.96,0
.701,.728,3.49,3.99,0
.712,.708,3.68,3.92,0
.714,.706,3.67,3.94,1
.718,.708,3.67,3.99,1
.717,.708,3.66,3.97,0
.721,.686,3.57,3.87,0
.719,.686,3.55,3.84,0
.718,.684,3.54,3.83,1
.788,.658,4.13,4.55,1
.786,.667,4.21,4.56,0
.778,.662,4.18,4.49,0
.774,.649,4.11,4.58,1
.778,.649,4.09,4.63,1
.777,.651,4.05,4.62,1
.780,.661,4.35,4.71,0
.778,.662,4.38,4.70,0
.775,.659,4.34,4.68,1
.772,.659,4.27,4.63,1
.772,.663,4.29,4.61,0
.771,.662,4.27,4.58,1
.769,.667,4.34,4.57,0
.774,.706,4.37,4.36,0
.777,.711,4.41,4.39,0
.778,.713,4.44,4.39,0
.779,.712,4.42,4.41,1
.771,.712,4.40,4.45,1
.770,.710,4.38,4.44,1
.706,.751,5.21,5.32,0
.692,.748,5.23,5.13,0
.684,.753,5.28,4.99,0
.697,.744,5.21,5.10,1
.692,.750,5.20,5.01,0
.684,.746,5.17,4.90,0
.675,.784,4.99,5.05,1
.673,.788,4.98,5.00,0
.673,.794,4.97,4.92,0
.668,.789,4.96,4.85,0
