Wops(A),Pops(A),Wera(D),Pera(D),winsW
.719,.735,4.21,2.79,0
.722,.736,4.26,2.79,0
.719,.738,4.24,2.78,0
.737,.710,3.99,2.68,0
.735,.712,4.03,2.67,0
.734,.710,4.03,2.65,0
.733,.711,4.03,2.66,0
.809,.856,4.51,3.96,1
.801,.861,4.66,3.86,0
.800,.866,4.92,3.86,0
.800,.845,4.73,3.84,1
.778,.807,4.45,3.99,1
.775,.812,4.47,3.94,0
.775,.808,4.42,4.01,1
.784,.745,3.34,4.12,1
.782,.743,3.35,4.11,0
.782,.745,3.38,4.11,0
.777,.753,3.48,3.85,1
.774,.752,3.45,3.81,0
.777,.749,3.43,3.84,1
.774,.748,3.43,3.82,0
.778,.722,2.61,4.01,1
.751,.721,2.92,3.75,0
.741,.688,2.72,3.78,1
.700,.710,3.52,3.71,0
.700,.708,3.51,3.72,1
.698,.712,3.51,3.70,0
.770,.717,4.23,4.14,1
.768,.717,4.20,4.12,0
.766,.717,4.21,4.09,0
.761,.737,4.30,3.80,0
.759,.735,4.26,3.77,1
.759,.735,4.27,3.77,1
