Wops(A),Pops(A),Wera(D),Pera(D),winsW
.719,.726,4.09,3.40,0
.737,.733,4.15,3.70,1
.741,.737,4.29,3.77,0
.727,.705,4.07,3.60,1
.724,.706,4.08,3.60,0
.727,.705,4.08,3.67,1
.727,.708,4.12,3.66,0
.746,.752,5.00,3.23,0
.747,.755,5.04,3.23,0
.746,.757,5.07,3.23,0
.753,.752,5.14,3.51,1
.752,.751,5.14,3.50,0
.751,.750,5.12,3.50,0
.776,.871,3.78,4.54,1
.772,.861,3.73,4.41,0
.765,.857,3.76,4.33,0
.775,.817,3.49,4.12,1
.772,.818,3.50,4.09,0
.769,.817,3.51,4.07,0
.722,.716,2.92,4.09,1
.724,.719,2.91,4.07,1
.719,.721,2.89,3.96,0
.709,.735,3.12,3.50,0
.703,.735,3.12,3.44,0
.696,.732,3.09,3.38,0
.695,.737,3.16,3.40,0
.776,.748,3.99,4.66,1
.775,.749,4.04,4.63,0
.783,.750,4.03,4.71,1
.783,.757,4.18,4.70,0
.766,.769,4.31,4.32,0
.773,.771,4.33,4.46,1
.774,.771,4.34,4.48,1
