Wops(A),Pops(A),Wera(D),Pera(D),winsW
.418,.572,1.00,2.00,1
.716,.546,1.50,7.00,1
.686,.499,1.00,5.33,1
.713,.567,1.86,5.29,1
.712,.603,2.63,4.88,0
.686,.631,3.00,4.56,0
.707,.706,4.29,4.10,1
.710,.707,4.23,4.12,1
.709,.695,4.11,4.17,1
.677,.674,4.14,3.87,1
.675,.674,4.13,3.87,1
.678,.673,4.11,3.91,1
.676,.674,4.11,3.88,0
.677,.681,4.42,3.97,0
.676,.681,4.44,3.95,0
.675,.684,4.45,3.94,0
.673,.692,4.54,4.00,0
.672,.693,4.55,3.99,0
.673,.695,4.57,3.99,0
.562,.773,5.59,4.38,1
.578,.771,5.44,4.44,1
.579,.741,5.35,4.45,1
.623,.753,4.36,3.92,1
.624,.749,4.31,3.99,1
.620,.752,4.36,3.95,0
.632,.736,4.39,4.00,1
.630,.736,4.38,3.94,0
.642,.737,4.33,4.09,1
.644,.740,4.35,4.09,0
.645,.738,4.30,4.12,1
.644,.740,4.31,4.09,0
.697,.723,4.58,3.95,1
.698,.723,4.59,3.96,0
.698,.723,4.61,3.97,0
.702,.717,4.56,3.98,1
.702,.715,4.55,3.97,1
.702,.716,4.56,3.97,0
.702,.745,4.43,3.39,0
.723,.733,4.24,3.60,1
.729,.732,4.90,4.49,1
.724,.727,4.78,4.44,1
.723,.726,4.74,4.35,0
.744,.757,4.66,4.42,0
.748,.756,4.69,4.47,1
.748,.756,4.68,4.49,1
.736,.758,4.71,4.61,1
.737,.757,4.69,4.63,1
.734,.756,4.68,4.60,0
.744,.752,4.82,4.64,1
.743,.752,4.84,4.61,0
.745,.752,4.83,4.62,1
.745,.753,4.85,4.65,1
.737,.759,4.69,4.81,0
.738,.759,4.70,4.81,0
.737,.762,4.73,4.80,0
.738,.761,4.72,4.82,1
.780,.623,3.54,5.13,1
.773,.636,3.61,5.05,0
.783,.637,3.55,5.15,1
.780,.634,3.53,5.12,1
.772,.639,3.44,4.97,0
.776,.634,3.38,5.05,1
.775,.645,3.51,5.17,1
.753,.679,3.84,4.78,1
.752,.681,3.88,4.76,0
.745,.676,3.88,4.77,1
.751,.677,3.89,4.81,1
.751,.664,3.83,4.79,1
.753,.663,3.80,4.80,1
.757,.664,3.81,4.85,1
.757,.662,3.80,4.84,1
.752,.669,3.74,4.79,1
.749,.667,3.73,4.76,0
.748,.667,3.72,4.73,0
.748,.664,3.69,4.70,1
.826,.657,4.65,4.44,1
.794,.678,4.57,4.16,0
.795,.669,4.38,4.19,1
.803,.618,4.55,4.70,1
.803,.607,4.41,4.83,1
.796,.602,4.29,4.76,1
.772,.645,4.26,4.40,1
.767,.641,4.20,4.35,1
.767,.644,4.20,4.37,1
.800,.652,4.18,4.29,1
.800,.655,4.19,4.28,0
.800,.655,4.18,4.28,1
.799,.662,4.38,4.42,0
.801,.662,4.37,4.45,1
.799,.664,4.39,4.46,0
.798,.665,4.38,4.47,1
.799,.664,4.39,4.66,1
.799,.663,4.36,4.67,1
.797,.661,4.34,4.65,1
.749,.722,4.55,4.04,0
.749,.715,4.38,3.89,1
.741,.686,4.18,3.90,1
.823,.681,4.48,4.15,0
.813,.690,4.52,4.03,0
.838,.701,4.63,4.68,1
.835,.712,4.52,4.76,1
.843,.712,4.45,4.85,1
.843,.711,4.44,4.94,1
.838,.709,4.38,4.89,0
