Wops(A),Pops(A),Wera(D),Pera(D),winsW
.700,.662,3.97,4.71,1
.690,.672,4.15,4.60,0
.692,.671,4.08,4.54,1
.691,.664,4.00,4.49,1
.685,.696,3.91,4.27,1
.687,.698,3.90,4.27,1
.688,.698,3.93,4.28,0
.616,.710,4.45,4.73,0
.613,.709,4.37,4.63,0
.616,.715,4.41,4.57,0
.668,.724,4.31,4.26,1
.667,.723,4.28,4.24,1
.668,.724,4.28,4.23,0
.669,.729,4.34,4.22,0
.715,.806,4.31,4.21,1
.747,.798,4.25,4.49,1
.740,.788,4.13,4.43,0
.752,.768,4.62,4.24,1
.751,.764,4.57,4.23,1
.748,.766,4.60,4.18,0
.751,.726,3.81,3.53,0
.751,.726,3.82,3.54,0
.750,.721,3.79,3.56,1
.750,.726,3.87,3.55,0
.748,.728,3.83,3.90,1
.747,.726,3.82,3.88,0
.749,.730,3.85,3.92,1
.786,.767,4.43,4.33,1
.786,.763,4.39,4.30,1
.780,.763,4.35,4.24,0
.797,.772,4.10,4.66,1
.794,.777,4.20,4.62,0
.792,.777,4.20,4.59,0
