Wops(A),Pops(A),Wera(D),Pera(D),winsW
.782,.714,4.89,4.50,0
.784,.700,4.53,4.46,1
.809,.691,4.40,4.73,1
.789,.681,5.08,4.35,0
.796,.682,4.98,4.37,1
.821,.692,5.04,5.00,1
.709,.691,3.82,4.24,1
.709,.689,3.78,4.26,1
.714,.688,3.81,4.28,1
.740,.718,3.80,4.48,1
.738,.717,3.76,4.43,0
.742,.719,3.79,4.48,1
.735,.744,4.03,4.44,1
.733,.744,4.02,4.43,1
.732,.745,4.07,4.40,0
.725,.743,4.08,4.39,0
.724,.742,4.07,4.36,0
.721,.742,4.05,4.33,0
.852,.804,2.50,5.37,1
.877,.807,2.86,5.90,1
.867,.798,3.04,5.40,0
.762,.846,3.87,4.15,0
.757,.848,3.91,4.11,0
.762,.856,4.01,4.27,1
.773,.854,4.07,4.42,1
.781,.837,4.11,4.20,1
.779,.838,4.14,4.19,0
.780,.833,4.09,4.21,1
.767,.818,4.19,4.22,0
.772,.822,4.42,4.08,0
.773,.822,4.41,4.10,1
.770,.818,4.38,4.07,1
.766,.821,4.37,4.06,0
.765,.821,4.37,4.05,0
.762,.819,4.34,4.03,0
.761,.819,4.35,4.02,0
.610,.717,4.25,2.86,0
.728,.733,4.36,4.00,1
.708,.722,3.47,3.61,1
.719,.712,3.38,3.66,1
.710,.734,3.53,3.57,0
.706,.711,4.10,3.43,1
.695,.718,4.16,3.38,0
.690,.714,4.09,3.32,0
.702,.710,4.05,3.49,1
.735,.754,4.36,3.90,1
.736,.749,4.31,3.89,1
.733,.750,4.33,3.86,0
.732,.751,4.34,3.84,0
.767,.747,4.89,3.72,1
.767,.745,4.85,3.74,1
.765,.745,4.82,3.73,1
.759,.740,4.90,3.67,0
.756,.738,4.87,3.64,0
.755,.740,4.90,3.62,0
.638,.773,4.60,3.15,0
.644,.794,4.86,3.14,0
.626,.795,4.65,3.00,0
.697,.783,5.09,3.64,0
.700,.787,5.04,3.69,1
.697,.789,5.08,3.67,0
.696,.795,5.09,3.60,0
.666,.783,4.90,3.45,0
.668,.786,4.92,3.46,0
.665,.786,4.92,3.42,0
.672,.794,4.87,3.52,0
.674,.795,4.87,3.56,1
.700,.804,5.04,3.54,0
.698,.804,5.04,3.51,0
.699,.805,5.05,3.52,0
.697,.804,5.03,3.50,0
.690,.787,5.17,3.67,0
.691,.793,5.27,3.66,0
.692,.791,5.25,3.70,1
.659,.712,6.51,6.14,0
.675,.709,6.41,6.20,1
.661,.708,6.30,5.80,0
.680,.692,5.98,5.93,1
.694,.738,5.61,4.66,1
.695,.743,5.67,4.67,0
.684,.738,5.52,4.53,0
.702,.788,5.65,4.38,0
.699,.788,5.64,4.35,0
.702,.790,5.61,4.34,0
.703,.807,5.62,4.66,1
.707,.813,5.66,4.67,0
.709,.809,5.60,4.68,1
.716,.826,5.95,4.74,0
.714,.826,5.93,4.70,0
.715,.829,6.00,4.71,0
.724,.806,5.61,4.68,1
.726,.805,5.60,4.71,1
.725,.806,5.59,4.70,0
.652,1.136,14.63,2.00,0
.655,.888,7.94,4.00,1
.775,.810,6.58,5.00,1
.771,.744,4.86,6.01,0
.774,.748,4.99,5.97,0
.776,.746,4.89,5.89,1
.780,.744,4.86,5.89,1
.739,.775,4.40,5.72,0
.739,.776,4.49,5.64,0
.751,.773,4.43,5.77,1
