Wops(A),Pops(A),Wera(D),Pera(D),winsW
.827,.639,4.78,4.18,1
.722,.660,3.95,4.33,0
.728,.660,3.93,4.35,1
.737,.653,3.71,4.08,0
.733,.655,3.71,4.05,0
.734,.653,3.68,4.08,1
.787,.684,3.49,2.55,1
.784,.683,3.47,2.62,1
.796,.688,3.63,2.72,0
.788,.701,3.77,2.65,0
.772,.711,4.21,4.06,1
.770,.714,4.22,4.03,0
.775,.711,4.20,4.09,1
.702,.677,3.98,3.20,1
.708,.678,4.01,3.31,1
.708,.673,3.88,3.35,1
.730,.725,4.85,4.32,0
.729,.726,4.88,4.26,0
.731,.728,4.88,4.31,1
.730,.730,4.89,4.27,0
.696,.716,5.02,5.16,1
.695,.720,4.99,5.09,0
.688,.728,5.13,5.00,0
.693,.720,5.08,5.08,1
.690,.710,5.25,4.77,0
.688,.710,5.23,4.73,0
.690,.710,5.21,4.75,1
.696,.741,6.37,5.27,0
.713,.731,6.15,5.48,1
.716,.728,6.03,5.44,1
.695,.766,6.05,5.34,0
.700,.756,5.88,5.33,1
.704,.754,5.89,5.32,0
