Wops(A),Pops(A),Wera(D),Pera(D),winsW
.710,.730,3.93,3.97,1
.708,.731,3.90,3.92,0
.712,.730,3.89,3.95,1
.743,.720,3.78,4.02,1
.744,.715,3.72,4.03,1
.747,.713,3.67,4.06,1
.766,.728,3.76,3.85,1
.766,.729,3.80,3.86,0
.767,.732,3.80,3.90,1
.783,.761,4.26,3.62,1
.783,.759,4.24,3.64,1
.783,.757,4.21,3.63,1
.739,.770,5.09,3.87,0
.742,.772,5.08,3.91,1
.739,.771,5.08,3.87,0
.740,.774,5.10,3.86,0
.768,.791,4.84,3.45,0
.766,.791,4.84,3.44,0
.764,.789,4.83,3.43,0
.663,.623,4.90,2.79,1
.645,.637,4.86,2.64,0
.643,.657,4.95,2.65,0
.638,.646,4.83,2.57,0
.699,.771,5.08,3.77,0
.698,.768,5.05,3.77,1
.698,.770,5.08,3.74,0
.689,.670,5.66,3.64,0
.694,.662,5.53,3.67,1
.686,.665,5.50,3.61,0
.679,.673,5.55,3.52,0
.700,.725,5.79,3.96,1
.709,.721,5.72,4.08,1
.705,.720,5.67,4.03,0
