Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.773,3.78,4.30,0
.731,.767,3.74,4.28,1
.735,.767,3.73,4.33,1
.728,.761,3.72,4.45,0
.730,.765,3.75,4.47,1
.731,.763,3.73,4.49,1
.729,.762,3.75,4.45,0
.802,.722,3.58,4.49,1
.795,.716,3.47,4.41,1
.804,.713,3.45,4.55,1
.799,.726,3.53,4.54,0
.770,.765,4.40,4.18,0
.773,.764,4.39,4.23,1
.774,.762,4.36,4.22,1
.743,.740,4.21,4.82,1
.742,.746,4.24,4.77,0
.742,.752,4.30,4.78,0
.747,.761,4.98,4.85,0
.746,.760,4.98,4.82,0
.749,.758,4.95,4.83,1
.755,.759,4.93,4.90,1
.625,.635,4.65,3.83,0
.631,.668,4.75,3.90,0
.661,.707,5.11,4.16,0
.662,.720,4.85,4.26,1
.664,.730,4.96,4.29,0
.673,.729,4.89,4.34,1
.707,.655,5.78,4.93,1
.702,.656,5.73,4.83,0
.700,.655,5.70,4.78,0
.719,.684,5.70,5.28,1
.718,.687,5.70,5.25,0
.719,.687,5.68,5.27,1
.719,.687,5.68,5.25,0
