Wops(A),Pops(A),Wera(D),Pera(D),winsW
.729,.718,3.98,3.65,1
.723,.718,3.98,3.59,0
.728,.720,3.98,3.63,1
.719,.724,3.97,3.57,0
.715,.726,4.02,3.57,0
.709,.725,4.01,3.53,0
.707,.722,3.97,3.52,1
.768,.710,3.75,4.45,0
.768,.711,3.74,4.42,0
.763,.712,3.76,4.37,0
.772,.734,4.23,3.97,1
.774,.739,4.32,4.00,0
.773,.744,4.39,3.98,0
.772,.744,4.38,3.97,0
.734,.780,4.23,3.42,0
.731,.782,4.26,3.39,0
.729,.786,4.35,3.39,0
.744,.856,5.12,3.97,0
.742,.858,5.14,3.97,0
.746,.858,5.16,4.02,1
.491,.849,4.86,2.45,0
.583,.876,6.00,2.72,0
.580,.837,5.43,2.47,0
.690,.756,5.22,3.12,0
.690,.757,5.22,3.12,0
.689,.757,5.22,3.11,0
.689,.754,5.18,3.11,1
.699,.821,5.64,3.50,0
.699,.814,5.56,3.50,1
.696,.811,5.53,3.44,0
.714,.831,5.66,3.67,0
.713,.839,5.81,3.65,0
.717,.839,5.82,3.69,1
