Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.729,3.83,3.54,0
.730,.729,3.83,3.53,0
.733,.730,3.84,3.56,1
.732,.732,3.85,3.56,0
.730,.735,4.00,3.73,1
.732,.737,4.07,3.74,0
.735,.736,4.06,3.77,1
.837,.717,3.68,2.79,0
.842,.709,3.64,3.10,1
.814,.724,3.81,2.98,0
.773,.714,4.03,3.97,1
.779,.713,3.98,4.07,1
.774,.711,3.91,4.07,1
.725,.623,3.94,3.90,0
.724,.632,3.95,3.88,0
.732,.646,4.07,3.99,0
.743,.728,5.07,4.14,1
.745,.725,5.03,4.17,1
.746,.722,4.98,4.19,1
.662,.716,5.24,5.10,0
.664,.715,5.18,5.11,1
.678,.718,5.17,5.29,1
.695,.688,5.15,5.18,0
.697,.689,5.15,5.18,0
.696,.692,5.18,5.14,0
.716,.706,5.98,4.98,0
.715,.704,5.94,4.97,1
.720,.702,5.90,5.00,1
.723,.702,5.78,5.17,1
.723,.703,5.77,5.17,0
.722,.704,5.78,5.15,0
