Wops(A),Pops(A),Wera(D),Pera(D),winsW
.734,.694,3.68,3.83,0
.733,.697,3.72,3.82,0
.733,.701,3.74,3.81,0
.738,.703,3.82,4.22,0
.735,.703,3.82,4.21,0
.734,.703,3.81,4.19,0
.733,.700,3.79,4.17,0
.727,.532,2.00,3.12,1
.798,.597,2.00,3.78,1
.784,.625,1.67,4.01,1
.787,.674,3.61,4.72,1
.802,.673,3.56,4.85,1
.776,.732,4.21,4.91,0
.748,.753,4.33,4.28,0
.738,.750,4.28,4.18,0
.738,.748,4.27,4.15,0
.728,.738,5.09,4.80,0
.730,.741,5.13,4.82,0
.730,.740,5.08,4.82,1
.734,.738,5.07,4.89,1
.580,.456,1.64,2.70,1
.544,.688,3.15,2.37,0
.458,.776,4.34,1.61,0
.668,.704,4.82,4.40,0
.668,.705,4.82,4.37,0
.668,.706,4.83,4.37,0
.668,.709,4.85,4.33,0
.694,.813,5.94,4.41,0
.704,.860,6.40,4.56,0
.698,.850,6.21,4.47,0
.711,.834,6.01,4.57,0
.703,.846,6.11,4.46,0
.695,.846,6.06,4.32,0
