Wops(A),Pops(A),Wera(D),Pera(D),winsW
.784,.730,5.52,3.58,0
.771,.700,5.07,3.67,1
.813,.707,5.06,4.04,1
.771,.740,4.33,3.23,0
.768,.743,4.38,3.26,0
.775,.736,4.25,3.34,1
.770,.744,4.33,3.30,0
.720,.735,3.79,3.76,1
.728,.737,3.79,3.85,1
.724,.736,3.81,3.84,0
.733,.747,3.73,3.89,0
.731,.747,3.74,3.88,0
.731,.749,3.80,3.87,0
.726,.756,4.01,3.95,0
.727,.754,3.99,3.94,1
.727,.752,3.98,3.93,1
.725,.744,4.06,3.99,1
.726,.743,4.05,3.99,1
.728,.744,4.05,4.03,1
.782,.666,3.66,4.74,1
.777,.670,3.75,4.54,0
.766,.656,3.59,4.39,1
.773,.673,4.09,4.19,1
.774,.678,4.16,4.23,0
.771,.677,4.10,4.19,1
.792,.706,4.29,4.37,0
.788,.708,4.33,4.33,0
.784,.710,4.34,4.29,0
.782,.707,4.31,4.28,1
.770,.718,4.45,4.21,0
.772,.723,4.52,4.22,0
.772,.722,4.48,4.22,1
.772,.718,4.45,4.25,1
.772,.716,4.41,4.23,1
.770,.715,4.41,4.21,0
.761,.719,4.21,4.16,1
.761,.720,4.23,4.15,0
.760,.720,4.22,4.16,1
.649,.724,2.48,4.36,1
.690,.714,2.84,4.61,1
.646,.739,3.64,4.14,0
.721,.790,3.90,3.28,0
.718,.804,4.24,3.22,0
.713,.804,4.19,3.35,1
.726,.786,4.30,3.74,1
.722,.794,4.37,3.69,0
.730,.793,4.35,3.82,1
.729,.805,4.41,3.62,0
.726,.818,4.61,3.61,0
.726,.827,4.76,3.60,0
.771,.776,4.82,3.76,0
.772,.775,4.81,3.78,1
.770,.778,4.84,3.76,0
.762,.778,4.85,3.78,0
.760,.779,4.86,3.77,0
.759,.781,4.89,3.76,0
.759,.780,4.88,3.78,1
.600,.765,4.94,3.69,1
.620,.717,4.38,3.72,1
.606,.742,4.82,3.64,0
.636,.747,4.59,3.94,1
.676,.805,4.97,3.79,0
.682,.808,5.00,3.81,0
.671,.787,4.84,3.44,1
.671,.793,4.89,3.43,0
.673,.792,4.89,3.46,1
.670,.795,4.92,3.42,0
.688,.791,4.83,3.56,0
.691,.792,4.83,3.59,1
.693,.782,5.13,3.71,0
.692,.784,5.17,3.71,0
.691,.784,5.16,3.69,0
.690,.784,5.16,3.67,0
.689,.777,5.20,3.78,0
.689,.777,5.18,3.76,0
.692,.775,5.16,3.77,1
.522,1.013,7.88,1.00,0
.550,.894,5.29,2.00,1
.666,.838,5.19,3.33,1
.682,.756,4.87,2.71,0
.681,.790,5.01,2.88,0
.651,.884,6.15,2.89,0
.690,.765,5.48,3.80,0
.685,.762,5.44,3.74,0
.690,.767,5.63,3.74,0
.688,.772,5.74,3.73,0
.690,.782,5.77,3.73,0
.690,.782,5.77,3.76,0
.714,.822,5.59,4.34,0
.715,.827,5.62,4.34,0
.713,.831,5.68,4.32,0
.717,.830,5.84,4.34,0
.718,.832,5.88,4.37,0
.718,.835,5.91,4.36,0
.718,.834,5.91,4.36,0
.731,.710,6.94,4.35,0
.738,.746,7.16,4.73,0
.767,.773,4.66,4.39,0
.770,.765,4.56,4.48,1
.769,.761,4.47,4.42,1
.767,.752,4.38,4.37,1
.771,.758,4.47,4.35,0
.768,.766,4.64,4.29,0
.757,.762,4.55,4.18,0
.752,.760,4.53,4.11,0
