Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.691,3.74,3.45,1
.730,.692,3.75,3.42,0
.730,.692,3.74,3.45,1
.729,.694,3.75,3.50,1
.730,.695,3.75,3.51,1
.739,.695,3.73,3.63,1
.738,.694,3.72,3.61,1
.758,.676,3.72,3.90,0
.757,.673,3.66,3.91,1
.778,.670,3.63,4.15,1
.772,.704,4.19,4.66,0
.770,.704,4.17,4.63,0
.767,.702,4.15,4.59,0
.768,.703,4.17,4.63,1
.753,.735,4.87,4.67,1
.753,.736,4.86,4.66,0
.757,.737,4.87,4.72,1
.758,.738,4.91,4.71,0
.763,.738,4.90,4.73,1
.762,.741,4.91,4.73,0
.764,.741,4.92,4.74,1
.663,.769,5.19,4.39,0
.658,.755,5.05,4.21,0
.650,.749,4.95,4.12,0
.692,.760,5.23,3.77,0
.689,.762,5.26,3.75,0
.689,.761,5.24,3.76,1
.710,.711,5.83,4.30,1
.692,.730,6.12,4.14,0
.682,.761,6.45,4.07,0
.669,.781,6.50,4.13,0
.698,.748,5.55,4.23,0
.694,.758,5.61,4.19,0
.691,.761,5.65,4.17,0
