Wops(A),Pops(A),Wera(D),Pera(D),winsW
.748,.702,4.06,3.87,1
.744,.706,4.06,3.82,0
.740,.705,4.06,3.86,1
.732,.698,3.73,3.99,1
.732,.700,3.75,4.00,0
.727,.700,3.75,3.96,0
.786,.738,3.70,3.28,0
.787,.738,3.66,3.31,1
.780,.740,3.75,3.28,0
.805,.763,4.25,3.89,0
.801,.766,4.26,3.87,0
.801,.775,4.37,3.88,0
.801,.776,4.43,3.88,0
.761,.743,4.89,4.52,1
.760,.742,4.88,4.49,0
.761,.746,4.90,4.50,0
.767,.742,4.83,4.48,1
.769,.739,4.80,4.48,1
.772,.739,4.81,4.51,1
.671,.742,4.87,4.06,0
.670,.741,4.85,4.04,0
.672,.743,4.87,4.05,0
.670,.743,4.84,4.02,0
.693,.722,5.16,4.24,0
.695,.722,5.14,4.24,1
.693,.724,5.14,4.21,0
.688,.773,5.65,5.31,0
.689,.778,5.71,5.34,0
.691,.776,5.69,5.38,1
.692,.779,5.78,5.35,0
.723,.751,5.71,5.12,1
.722,.750,5.69,5.11,0
.720,.750,5.66,5.09,1
