Wops(A),Pops(A),Wera(D),Pera(D),winsW
.856,.720,2.00,5.00,1
.785,.698,3.50,5.50,1
.635,.683,3.12,3.67,0
.803,.687,4.64,3.54,0
.799,.674,4.42,3.58,1
.791,.673,4.31,3.61,1
.724,.691,3.87,3.40,1
.715,.693,3.85,3.33,0
.721,.703,3.94,3.36,0
.729,.678,3.79,3.54,0
.727,.676,3.76,3.56,1
.727,.678,3.74,3.57,1
.724,.705,3.89,3.67,0
.723,.707,3.94,3.66,0
.724,.710,3.95,3.68,1
.730,.711,4.06,3.69,1
.730,.713,4.09,3.70,0
.729,.712,4.07,3.69,1
.729,.714,4.09,3.69,0
.847,.662,1.50,3.89,1
.850,.664,1.60,4.15,1
.792,.682,3.73,3.33,0
.784,.686,3.71,3.21,0
.766,.670,3.57,3.20,1
.788,.728,4.20,4.18,1
.788,.723,4.15,4.20,1
.794,.728,4.17,4.26,1
.802,.732,4.18,4.37,1
.799,.726,4.34,4.57,1
.796,.724,4.30,4.54,1
.795,.726,4.31,4.51,0
.769,.736,4.40,4.17,1
.772,.735,4.37,4.21,1
.772,.737,4.40,4.22,0
.770,.741,4.40,4.20,0
.770,.741,4.40,4.21,1
.769,.740,4.39,4.19,0
.769,.739,4.36,4.18,1
.725,.752,3.50,3.89,1
.703,.744,3.42,3.71,0
.704,.744,3.41,3.69,1
.739,.780,5.20,4.08,0
.742,.780,5.17,4.13,1
.745,.782,5.15,4.18,1
.735,.775,5.02,4.16,0
.733,.780,5.08,4.15,0
.733,.777,5.03,4.18,1
.745,.762,5.10,4.10,1
.745,.761,5.11,4.10,0
.744,.762,5.11,4.07,0
.754,.736,4.87,3.96,1
.754,.738,4.89,3.96,0
.754,.738,4.91,3.96,0
.755,.739,4.90,3.99,1
.751,.738,4.96,4.00,0
.750,.739,4.96,4.00,0
.747,.739,4.97,3.97,0
.637,.716,4.96,4.68,0
.655,.726,5.04,4.69,0
.687,.729,5.14,4.29,1
.692,.724,5.09,4.35,1
.687,.736,5.18,4.32,0
.706,.731,5.08,4.67,1
.692,.730,4.98,4.22,1
.686,.734,4.99,4.15,0
.685,.740,5.06,4.13,0
.675,.720,4.85,3.68,0
.680,.720,4.84,3.76,1
.685,.720,4.81,3.84,1
.690,.721,4.82,3.90,1
.695,.722,4.95,3.88,0
.696,.720,4.92,3.89,1
.696,.720,4.93,3.89,0
.692,.730,5.21,3.67,0
.693,.732,5.22,3.67,0
.693,.734,5.24,3.67,0
.668,.771,5.90,2.41,0
.657,.800,6.05,2.33,0
.673,.795,5.93,2.50,1
.694,.773,5.92,2.98,0
.693,.763,5.74,2.99,1
.704,.750,5.68,3.20,0
.703,.750,5.70,3.20,0
.705,.750,5.69,3.26,1
.703,.754,5.69,3.33,0
.701,.751,5.63,3.32,1
.701,.758,5.70,3.33,0
.697,.757,5.69,3.30,0
.718,.754,5.89,3.51,0
.716,.755,5.90,3.50,0
.717,.753,5.87,3.53,1
.721,.753,5.84,3.56,1
.721,.756,5.77,3.66,0
.722,.755,5.74,3.66,1
.720,.754,5.72,3.63,0
.786,.716,6.45,3.60,1
.754,.693,5.63,3.57,1
.783,.671,5.05,3.76,1
.772,.771,4.78,3.98,0
.764,.773,4.77,3.88,0
.749,.760,4.36,3.73,0
.753,.768,4.50,3.79,0
.748,.764,4.45,3.74,0
.744,.764,4.42,3.68,0
.738,.757,4.36,3.66,1
