Wops(A),Pops(A),Wera(D),Pera(D),winsW
.745,.717,3.73,4.00,0
.745,.722,3.79,4.00,0
.746,.720,3.77,3.99,1
.741,.718,3.74,3.94,0
.729,.728,3.86,4.37,0
.729,.731,3.86,4.36,0
.726,.731,3.87,4.32,0
.859,.656,3.42,3.57,0
.897,.648,3.48,4.11,1
.894,.675,3.84,4.10,0
.786,.750,4.21,3.90,0
.772,.752,4.22,4.37,1
.770,.751,4.20,4.36,1
.770,.752,4.21,4.35,0
.730,.738,5.14,4.21,1
.737,.736,5.10,4.29,1
.738,.735,5.07,4.31,1
.744,.736,5.09,4.37,1
.742,.744,5.15,4.47,0
.742,.742,5.10,4.46,1
.744,.742,5.11,4.52,1
.670,.715,4.92,4.64,0
.669,.712,4.87,4.60,1
.669,.714,4.87,4.61,1
.694,.732,4.94,4.87,0
.694,.734,4.98,4.85,0
.691,.735,4.96,4.82,0
.695,.734,4.97,4.86,1
.708,.793,5.81,5.03,1
.705,.788,5.71,4.93,0
.705,.787,5.68,4.90,0
.720,.744,5.70,4.87,0
.721,.745,5.71,4.88,0
.720,.746,5.73,4.86,0
.719,.750,5.76,4.85,0
