Wops(A),Pops(A),Wera(D),Pera(D),winsW
.737,.718,5.40,3.34,0
.786,.644,4.50,4.19,1
.772,.704,5.43,4.67,0
.796,.778,5.01,4.46,0
.790,.782,4.98,4.30,0
.783,.791,5.15,4.41,0
.773,.763,4.25,4.62,1
.763,.770,4.31,4.54,0
.768,.759,4.17,4.60,1
.732,.782,3.73,4.13,0
.732,.781,3.72,4.14,1
.738,.786,3.80,4.27,1
.728,.784,3.92,3.77,1
.726,.784,3.93,3.75,0
.726,.788,3.98,3.75,0
.719,.793,4.05,3.77,0
.719,.796,4.09,3.76,0
.722,.795,4.07,3.79,1
.723,.795,4.07,3.80,1
.877,.684,3.86,3.50,0
.866,.689,3.76,3.45,1
.862,.678,3.63,3.39,1
.778,.719,3.93,3.72,1
.774,.721,3.91,3.70,0
.778,.731,4.04,3.74,0
.785,.739,4.14,3.82,0
.777,.762,4.23,3.76,0
.777,.762,4.20,3.75,1
.785,.761,4.21,3.86,1
.775,.768,4.24,3.85,0
.772,.770,4.29,3.82,0
.770,.768,4.25,3.83,1
.770,.769,4.49,3.79,0
.770,.768,4.48,3.80,1
.769,.768,4.48,3.79,0
.760,.760,4.28,3.80,0
.761,.759,4.26,3.79,1
.760,.757,4.23,3.79,1
.678,.640,1.64,2.53,1
.626,.572,1.35,2.89,1
.695,.548,3.95,3.98,1
.732,.561,3.95,4.18,1
.714,.563,3.80,3.90,0
.754,.592,3.82,4.49,1
.741,.697,4.26,4.23,1
.749,.700,4.25,4.30,1
.745,.696,4.15,4.23,0
.744,.733,5.10,4.31,1
.739,.733,5.08,4.26,0
.737,.728,5.01,4.23,1
.774,.727,4.86,4.61,0
.771,.724,4.81,4.57,1
.770,.725,4.82,4.55,0
.771,.723,4.81,4.55,1
.763,.727,4.83,4.46,0
.761,.726,4.82,4.44,0
.760,.726,4.79,4.41,1
.640,.753,4.80,3.86,0
.628,.742,4.50,3.62,0
.641,.730,4.39,3.76,1
.676,.707,4.85,4.72,0
.672,.715,4.86,4.64,0
.670,.717,4.84,4.59,0
.671,.727,4.98,4.57,0
.671,.732,4.89,4.55,0
.669,.730,4.86,4.51,0
.670,.732,4.87,4.50,0
.698,.738,5.08,4.83,0
.696,.741,5.11,4.80,0
.693,.741,5.12,4.76,0
.691,.741,5.12,4.80,1
.695,.742,5.12,4.86,1
.697,.745,5.12,4.89,1
.688,.740,5.21,4.85,0
.688,.739,5.19,4.83,0
.687,.737,5.16,4.82,1
.666,.555,5.14,1.88,1
.687,.558,4.30,1.89,1
.669,.616,4.33,2.05,0
.700,.660,5.48,4.59,1
.702,.662,5.44,4.61,0
.702,.671,5.54,4.57,0
.704,.713,5.63,4.96,1
.706,.708,5.58,4.96,1
.704,.710,5.59,4.91,0
.712,.718,5.60,4.77,0
.711,.719,5.59,4.74,0
.710,.721,5.58,4.76,1
.710,.724,5.57,4.75,1
.720,.728,5.68,4.74,0
.723,.731,5.71,4.77,0
.722,.732,5.73,4.76,0
.722,.732,5.66,4.81,0
.725,.732,5.65,4.85,1
.724,.732,5.64,4.83,0
.779,.739,4.69,3.89,0
.788,.743,4.76,4.02,0
.783,.750,4.77,3.88,0
.761,.772,4.73,3.82,0
.751,.768,4.73,3.69,0
.759,.766,4.77,3.74,0
.755,.759,4.60,3.69,1
.752,.770,4.54,4.64,0
.749,.767,4.52,4.59,0
.750,.766,4.51,4.60,1
