Wops(A),Pops(A),Wera(D),Pera(D),winsW
.734,.720,3.72,3.58,1
.735,.722,3.76,3.58,0
.732,.720,3.74,3.56,0
.728,.732,4.06,3.70,1
.728,.731,4.05,3.71,1
.728,.732,4.05,3.71,1
.771,.760,4.37,3.40,1
.773,.759,4.35,3.42,1
.774,.762,4.37,3.47,1
.771,.762,4.38,3.44,0
.717,.849,3.88,4.23,1
.719,.840,3.85,4.22,1
.724,.845,3.95,4.27,0
.732,.814,4.39,3.98,0
.682,.741,5.08,3.28,0
.683,.744,5.04,3.25,0
.678,.741,4.99,3.19,0
.672,.713,4.94,3.43,0
.672,.710,4.87,3.42,1
.671,.712,4.86,3.40,0
.695,.764,5.70,4.28,0
.699,.762,5.66,4.34,1
.718,.792,5.79,4.32,1
.719,.794,5.81,4.32,0
.769,.658,4.42,3.61,1
.762,.656,4.24,3.74,1
.748,.663,4.08,3.93,1
.748,.663,4.08,3.93,1
.786,.746,4.63,4.37,0
.797,.739,4.55,4.55,1
.795,.735,4.57,4.57,0
