Wops(A),Pops(A),Wera(D),Pera(D),winsW
.710,.664,4.44,3.82,0
.709,.670,4.49,3.82,0
.709,.675,4.52,3.80,0
.711,.674,4.50,3.85,1
.739,.686,4.57,3.99,1
.737,.688,4.57,3.98,0
.736,.686,4.54,3.97,1
.785,.699,4.27,2.59,0
.786,.690,4.19,2.67,1
.799,.693,4.14,2.83,1
.829,.695,4.14,3.97,0
.825,.696,4.13,3.93,0
.827,.699,4.17,3.95,0
.828,.702,4.20,4.01,1
.746,.719,3.85,3.66,0
.761,.724,3.89,3.84,1
.757,.718,3.84,3.85,1
.745,.723,3.73,4.71,1
.743,.722,3.71,4.68,1
.742,.721,3.68,4.67,1
.745,.719,3.68,4.69,1
.793,.714,3.54,4.79,0
.792,.712,3.51,4.76,1
.790,.711,3.52,4.69,0
.797,.713,3.59,4.83,1
.796,.716,3.61,4.80,0
.796,.714,3.59,4.80,1
.794,.717,3.62,4.76,0
.718,.756,4.95,5.27,0
.725,.749,4.83,5.30,1
.748,.744,4.74,5.55,1
.750,.739,4.66,5.67,1
.790,.718,4.28,5.01,1
.790,.718,4.25,5.01,1
.792,.721,4.30,5.04,0
