Wops(A),Pops(A),Wera(D),Pera(D),winsW
.732,.713,4.66,3.80,0
.734,.711,4.63,3.84,1
.736,.711,4.62,3.87,1
.743,.724,4.34,3.71,0
.741,.725,4.32,3.69,0
.740,.725,4.31,3.67,0
.882,.390,2.00,6.00,1
.896,.670,4.76,6.00,0
.836,.730,4.19,3.72,0
.842,.722,4.11,3.86,1
.844,.718,4.07,3.90,1
.818,.770,4.24,3.82,1
.736,.779,3.66,3.71,1
.741,.783,3.72,3.79,1
.744,.766,3.65,3.66,0
.747,.769,3.66,3.61,0
.748,.766,3.64,3.65,1
.748,.764,3.62,3.67,1
.749,.769,3.69,3.69,0
.798,.769,3.48,3.74,0
.795,.771,3.50,3.74,0
.798,.771,3.50,3.78,1
.799,.768,3.47,3.81,1
.788,.763,3.69,3.79,1
.787,.763,3.69,3.79,0
.786,.762,3.68,3.78,0
.778,.668,4.20,3.86,1
.778,.672,4.25,3.84,0
.784,.685,4.43,3.90,0
.819,.755,4.82,3.65,0
.821,.755,4.81,3.67,1
.823,.752,4.77,3.68,1
