Wops(A),Pops(A),Wera(D),Pera(D),winsW
.704,.768,4.46,4.34,1
.703,.768,4.44,4.30,0
.709,.765,4.41,4.37,1
.711,.762,4.49,4.46,1
.711,.764,4.51,4.48,0
.712,.762,4.49,4.48,1
.833,.758,4.38,4.42,0
.833,.760,4.43,4.43,0
.832,.761,4.42,4.42,0
.819,.759,4.21,4.20,0
.821,.757,4.18,4.25,1
.820,.756,4.17,4.24,1
.819,.758,4.22,4.24,0
.725,.790,2.79,5.19,0
.687,.797,3.16,4.11,0
.718,.808,3.33,4.70,1
.670,.769,3.17,3.91,0
.743,.765,3.97,4.66,1
.747,.762,3.95,4.77,1
.749,.765,3.99,4.74,0
.798,.721,3.56,4.29,1
.801,.717,3.52,4.33,1
.800,.719,3.58,4.29,0
.798,.686,3.56,4.38,1
.795,.685,3.55,4.34,0
.795,.684,3.53,4.39,1
.688,.656,5.68,3.29,0
.691,.668,5.61,3.23,0
.704,.664,5.54,3.58,1
.712,.661,5.44,3.74,1
.805,.671,4.59,4.93,1
.808,.675,4.60,4.97,1
.806,.674,4.59,4.99,1
