Wops(A),Pops(A),Wera(D),Pera(D),winsW
.720,.738,4.53,3.56,0
.721,.735,4.49,3.58,1
.723,.735,4.48,3.58,1
.706,.731,4.50,3.56,0
.705,.732,4.50,3.54,0
.706,.736,4.51,3.55,0
.773,.740,4.59,5.05,1
.763,.758,4.83,4.94,0
.767,.757,4.75,4.85,1
.840,.720,4.11,4.45,1
.841,.725,4.19,4.50,0
.844,.730,4.19,4.51,1
.848,.731,4.21,4.67,1
.755,.812,3.86,3.69,1
.750,.815,3.91,3.65,0
.751,.820,3.93,3.69,1
.738,.827,3.71,4.13,0
.736,.825,3.71,4.11,0
.737,.825,3.70,4.13,1
.736,.823,3.70,4.12,0
.796,.746,3.58,2.67,0
.794,.750,3.64,2.68,0
.791,.748,3.65,2.72,1
.796,.745,3.62,2.82,1
.792,.760,3.64,3.08,0
.791,.761,3.65,3.08,0
.792,.763,3.66,3.10,1
.765,.859,4.33,3.46,0
.761,.862,4.39,3.43,0
.762,.859,4.36,3.43,1
.779,.844,4.28,3.41,0
.776,.844,4.29,3.40,0
.771,.837,4.23,3.37,1
