Wops(A),Pops(A),Wera(D),Pera(D),winsW
.708,.732,4.45,3.40,1
.709,.736,4.49,3.41,0
.720,.735,4.46,3.55,1
.736,.726,4.59,3.51,1
.738,.724,4.56,3.54,1
.738,.725,4.56,3.53,0
.738,.727,4.57,3.54,0
.844,.700,4.29,3.93,0
.839,.697,4.27,3.88,0
.841,.695,4.22,3.91,1
.813,.711,4.16,3.97,0
.816,.712,4.15,4.01,1
.815,.712,4.20,4.00,0
.750,.702,3.93,4.21,0
.752,.700,3.92,4.26,1
.750,.701,3.96,4.23,0
.732,.728,3.65,4.15,0
.735,.729,3.67,4.17,1
.735,.730,3.68,4.16,0
.790,.684,3.34,5.33,1
.785,.690,3.38,5.28,0
.793,.695,3.40,5.29,1
.791,.662,3.57,5.23,1
.796,.661,3.57,5.34,1
.798,.662,3.58,5.35,1
.784,.724,4.43,5.27,1
.786,.717,4.36,5.30,1
.787,.722,4.37,5.33,1
.817,.709,4.81,5.07,1
.815,.710,4.82,5.04,0
.816,.710,4.81,5.04,1
.816,.710,4.81,5.04,1
