Wops(A),Pops(A),Wera(D),Pera(D),winsW
.688,.699,4.55,4.00,0
.685,.698,4.51,3.94,0
.684,.700,4.55,3.94,0
.683,.693,4.44,3.87,1
.688,.691,4.41,3.92,1
.680,.686,4.37,3.85,0
.683,.687,4.38,3.81,0
.840,.704,4.23,5.13,1
.842,.704,4.22,5.23,1
.839,.702,4.22,5.17,0
.836,.726,4.32,4.93,1
.832,.726,4.30,4.89,0
.835,.731,4.37,4.93,0
.835,.731,4.38,4.93,1
.709,.742,3.51,3.94,0
.727,.738,3.43,3.94,1
.756,.736,3.51,4.40,1
.750,.744,3.92,4.83,1
.753,.742,3.88,4.83,1
.751,.741,3.88,4.78,0
.753,.738,3.87,4.78,1
.777,.714,3.45,4.10,0
.773,.717,3.46,4.04,0
.778,.712,3.44,4.11,1
.793,.723,3.55,4.44,0
.792,.721,3.54,4.44,1
.796,.719,3.54,4.50,1
.796,.716,3.51,4.49,1
.787,.852,4.28,3.93,1
.784,.847,4.23,3.87,0
.787,.846,4.22,3.94,1
.825,.842,4.69,4.17,0
.825,.841,4.67,4.18,1
.823,.839,4.65,4.16,0
