Wops(A),Pops(A),Wera(D),Pera(D),winsW
.689,.647,2.00,3.33,1
.684,.623,2.33,3.44,1
.676,.721,3.92,3.38,0
.712,.743,4.96,3.18,0
.709,.741,4.92,3.13,0
.709,.750,5.04,3.20,0
.717,.746,4.42,3.94,0
.719,.746,4.40,3.96,1
.718,.748,4.44,3.96,0
.714,.769,4.56,4.01,0
.712,.767,4.53,3.98,1
.710,.766,4.51,3.95,0
.736,.754,4.48,3.95,1
.735,.752,4.46,3.93,0
.737,.756,4.52,3.96,0
.743,.744,4.31,3.93,1
.745,.743,4.31,3.97,1
.746,.744,4.31,3.97,1
.744,.746,4.31,3.95,0
.777,.678,4.33,4.43,1
.790,.664,4.15,4.62,1
.799,.670,4.26,4.79,1
.800,.658,4.12,4.30,0
.792,.666,4.26,4.22,0
.795,.658,4.16,4.25,1
.833,.707,4.41,4.45,1
.831,.706,4.39,4.45,1
.827,.706,4.38,4.41,0
.815,.702,4.25,4.24,1
.814,.705,4.29,4.24,0
.814,.704,4.29,4.22,0
.819,.719,4.07,4.15,1
.821,.719,4.07,4.17,1
.821,.720,4.08,4.18,1
.821,.720,4.08,4.19,1
.817,.722,4.00,4.18,0
.815,.720,4.01,4.16,0
.813,.720,4.02,4.14,0
.719,.772,3.49,3.05,0
.699,.764,3.42,2.90,0
.750,.793,3.83,3.78,1
.746,.795,3.89,3.71,0
.740,.800,3.99,3.65,0
.759,.791,3.82,4.02,1
.752,.787,3.79,3.95,0
.750,.787,3.76,3.91,0
.749,.784,3.72,3.90,1
.744,.777,3.65,3.78,0
.745,.777,3.66,3.82,1
.743,.774,3.64,3.81,1
.748,.777,3.68,3.84,1
.746,.777,3.68,3.83,0
.747,.775,3.66,3.84,1
.746,.775,3.71,3.81,0
.746,.772,3.69,3.81,1
.744,.772,3.70,3.79,0
.741,.775,3.74,3.77,0
.761,.741,2.53,4.33,1
.769,.763,3.17,4.54,0
.757,.743,3.16,4.69,1
.787,.780,3.45,3.39,0
.794,.788,3.61,3.46,0
.794,.780,3.62,3.50,1
.787,.787,3.54,3.34,0
.791,.781,3.50,3.43,1
.787,.789,3.59,3.40,0
.796,.793,3.49,3.70,1
.795,.789,3.47,3.71,1
.795,.787,3.45,3.72,1
.794,.784,3.43,3.72,1
.785,.774,3.64,3.73,0
.784,.776,3.67,3.71,0
.786,.776,3.68,3.75,1
.790,.781,3.74,3.75,0
.790,.782,3.76,3.76,0
.792,.781,3.75,3.78,1
.674,.807,6.09,3.77,0
.674,.795,6.01,3.73,0
.780,.784,4.43,3.68,0
.780,.783,4.45,3.66,0
.783,.781,4.46,3.74,1
.798,.807,4.45,4.19,0
.801,.808,4.53,4.24,0
.815,.816,4.64,4.27,1
.819,.816,4.64,4.33,1
.823,.816,4.64,4.38,1
.822,.817,4.66,4.39,0
.820,.814,4.73,4.36,0
.818,.816,4.77,4.33,0
.817,.818,4.79,4.33,0
.816,.819,4.81,4.33,0
.823,.828,4.62,4.41,1
.821,.828,4.62,4.38,0
.820,.829,4.65,4.39,0
.818,.830,4.65,4.36,0
.746,.782,5.32,4.04,0
.718,.781,5.35,3.57,0
.736,.808,5.79,3.76,0
.731,.823,5.86,4.19,0
.737,.836,6.10,4.23,0
.730,.834,6.03,4.07,0
.726,.839,6.06,4.01,0
.768,.807,5.91,4.13,0
.761,.808,5.89,4.04,0
.771,.803,5.80,4.18,1
