Wops(A),Pops(A),Wera(D),Pera(D),winsW
.692,.712,4.91,4.17,1
.682,.722,5.05,4.11,0
.675,.718,4.90,4.02,1
.685,.709,4.34,3.59,1
.689,.707,4.30,3.61,1
.694,.709,4.29,3.67,1
.807,.675,4.22,4.47,1
.820,.680,4.24,4.71,1
.834,.677,4.20,4.97,1
.819,.697,4.19,4.57,1
.821,.695,4.17,4.61,1
.818,.693,4.15,4.57,0
.743,.727,3.96,4.36,0
.744,.726,3.94,4.29,0
.738,.734,4.02,4.24,0
.745,.729,4.00,4.40,1
.742,.758,3.68,4.81,1
.742,.757,3.70,4.79,0
.742,.758,3.69,4.81,1
.858,.788,2.69,4.75,1
.828,.788,2.72,4.52,0
.810,.787,2.80,4.37,0
.782,.743,3.64,4.36,0
.780,.743,3.67,4.30,0
.780,.743,3.67,4.35,1
.689,.724,7.24,3.00,0
.666,.699,6.24,2.64,0
.678,.684,5.74,2.89,1
.690,.713,6.00,2.90,0
.711,.729,5.14,4.61,1
.712,.720,5.00,4.61,1
.719,.715,4.94,4.70,1
