Wops(A),Pops(A),Wera(D),Pera(D),winsW
1.067,.280,0.00,8.00,1
.718,.404,1.59,4.00,0
.715,.397,1.73,4.67,1
.738,.691,4.53,4.81,1
.740,.689,4.51,4.85,1
.740,.689,4.49,4.86,1
.754,.705,3.99,5.03,1
.757,.705,3.95,4.99,1
.762,.704,3.94,5.02,1
.757,.700,3.90,4.94,0
.792,.714,3.47,3.85,1
.790,.715,3.47,3.82,0
.803,.706,3.48,3.73,1
.802,.707,3.49,3.72,0
.827,.740,4.70,4.56,0
.827,.740,4.70,4.54,0
.812,.752,4.64,4.54,1
.811,.752,4.63,4.54,1
.730,.827,6.36,5.49,0
.740,.807,6.22,5.56,1
.778,.791,6.24,5.11,0
.779,.786,6.17,5.14,1
