Wops(A),Pops(A),Wera(D),Pera(D),winsW
.680,.710,4.79,3.96,1
.676,.704,4.72,3.88,0
.678,.701,4.64,3.88,1
.672,.704,4.64,3.78,0
.721,.699,4.55,4.05,1
.731,.702,4.60,4.19,1
.732,.707,4.63,4.21,0
.832,.771,4.26,3.70,0
.834,.769,4.23,3.72,1
.836,.767,4.18,3.71,1
.825,.760,4.32,4.07,1
.823,.759,4.33,4.07,0
.820,.759,4.33,4.04,0
.820,.757,4.30,4.02,1
.755,.717,3.87,4.80,1
.755,.710,3.79,4.84,1
.750,.718,3.82,4.74,0
.736,.744,3.68,4.45,0
.733,.744,3.69,4.43,0
.734,.741,3.65,4.43,1
.784,.748,3.39,3.81,1
.783,.750,3.44,3.84,0
.776,.747,3.42,3.79,0
.779,.746,3.41,3.86,1
.784,.745,3.53,4.09,1
.781,.746,3.56,4.06,0
.780,.742,3.52,4.08,1
.668,.948,12.38,3.60,0
.794,.927,9.00,4.15,1
.712,.904,7.92,3.75,0
.752,.919,7.36,4.11,0
.750,.794,4.43,4.62,1
.755,.790,4.45,4.74,1
.764,.784,4.39,4.85,1
