Wops(A),Pops(A),Wera(D),Pera(D),winsW
.682,.681,4.23,4.31,1
.689,.703,4.44,4.35,0
.669,.693,4.31,4.14,0
.707,.681,5.04,3.51,0
.706,.674,4.85,3.47,1
.704,.686,4.86,3.45,0
.718,.694,4.45,3.27,1
.714,.698,4.45,3.24,0
.716,.698,4.42,3.27,1
.711,.684,4.50,3.51,1
.716,.686,4.53,3.59,1
.714,.687,4.52,3.58,0
.745,.716,4.50,3.69,0
.748,.716,4.50,3.72,1
.747,.713,4.45,3.69,1
.746,.716,4.43,3.73,1
.745,.716,4.43,3.71,0
.744,.718,4.42,3.70,0
.742,.720,4.42,3.69,0
.708,.614,4.42,2.95,0
.726,.617,4.32,3.27,1
.756,.663,4.84,3.59,0
.825,.740,4.39,4.41,0
.826,.737,4.36,4.46,1
.820,.738,4.36,4.40,0
.836,.731,4.52,4.60,1
.834,.729,4.48,4.57,1
.833,.726,4.43,4.57,1
.819,.735,4.20,4.13,1
.816,.734,4.17,4.11,1
.815,.734,4.16,4.09,0
.813,.733,4.15,4.06,0
.817,.735,4.19,4.12,1
.815,.735,4.19,4.11,0
.817,.737,4.21,4.15,1
.818,.738,4.00,4.19,1
.817,.739,4.00,4.20,1
.817,.737,3.99,4.18,1
.739,.746,4.40,3.77,0
.727,.718,4.09,3.65,1
.767,.719,4.17,3.95,1
.759,.721,3.92,3.76,1
.759,.731,3.74,3.62,0
.760,.725,3.72,3.69,1
.753,.734,3.92,3.65,0
.762,.775,3.84,4.19,0
.764,.776,3.83,4.23,1
.759,.774,3.80,4.18,0
.759,.774,3.82,4.17,0
.744,.750,3.64,4.08,1
.744,.749,3.63,4.10,1
.739,.745,3.72,4.07,1
.741,.743,3.70,4.09,1
.739,.743,3.70,4.07,0
.743,.742,3.69,4.02,1
.742,.740,3.66,4.01,1
.740,.739,3.66,4.00,0
.740,.564,6.75,4.00,0
.645,.432,3.18,2.50,1
.684,.515,2.77,2.33,1
.640,.542,2.31,2.25,1
.683,.529,2.09,4.12,1
.723,.519,2.19,4.92,1
.733,.567,2.69,5.33,1
.787,.737,2.94,4.62,0
.790,.763,3.25,4.67,0
.783,.762,3.24,4.67,1
.795,.737,3.54,4.36,1
.790,.730,3.49,4.31,1
.787,.732,3.51,4.26,0
.803,.718,3.49,3.80,1
.801,.716,3.48,3.80,1
.798,.715,3.46,3.77,0
.798,.721,3.49,3.70,0
.796,.722,3.50,3.68,0
.793,.724,3.54,3.66,0
.689,.793,5.85,2.67,1
.692,.807,5.81,2.83,1
.691,.792,5.62,2.85,1
.709,.784,5.31,2.99,0
.706,.780,5.19,2.95,0
.781,.777,4.38,2.95,0
.777,.779,4.44,2.92,0
.775,.774,4.38,2.96,1
.772,.779,4.41,2.93,0
.811,.750,4.68,3.47,1
.810,.749,4.67,3.49,1
.806,.748,4.66,3.47,0
.823,.755,4.67,3.57,0
.822,.757,4.70,3.57,0
.823,.760,4.73,3.58,0
.807,.757,4.63,3.66,0
.806,.757,4.63,3.66,0
.806,.758,4.63,3.67,1
.805,.759,4.65,3.67,0
.724,.681,5.78,3.50,0
.733,.668,5.28,3.63,1
.725,.702,4.89,3.78,0
.724,.708,5.01,3.68,0
.724,.736,5.24,3.75,0
.738,.769,5.60,3.97,0
.778,.758,6.10,3.87,1
.777,.767,6.23,3.80,0
.774,.767,6.22,3.81,0
.776,.764,6.12,3.85,1
