Wops(A),Pops(A),Wera(D),Pera(D),winsW
.682,.695,4.60,4.23,1
.682,.695,4.53,4.15,0
.678,.694,4.47,4.08,0
.692,.715,4.48,4.35,1
.690,.723,4.54,4.32,0
.686,.725,4.60,4.23,0
.684,.721,4.53,4.19,0
.829,.750,4.24,4.01,1
.827,.752,4.26,4.00,0
.825,.754,4.27,3.97,0
.835,.753,4.48,4.21,1
.836,.755,4.51,4.18,0
.836,.755,4.52,4.22,1
.749,.733,4.02,3.95,1
.751,.730,4.00,4.05,1
.755,.723,3.96,4.10,1
.763,.739,3.79,4.39,1
.768,.740,3.80,4.45,1
.764,.743,3.83,4.40,0
.790,.708,3.55,4.93,0
.792,.701,3.47,4.93,1
.791,.702,3.52,4.93,1
.792,.696,3.45,4.96,1
.798,.716,3.54,4.61,1
.801,.715,3.54,4.65,1
.800,.715,3.53,4.64,1
.770,.785,4.37,4.84,0
.772,.786,4.43,4.84,0
.774,.782,4.39,4.84,1
.778,.782,4.41,4.88,1
.806,.748,4.68,5.01,1
.807,.747,4.67,5.03,1
.807,.748,4.69,5.03,0
