Wops(A),Pops(A),Wera(D),Pera(D),winsW
.697,.740,5.00,4.83,1
.711,.762,5.23,4.98,0
.711,.744,5.04,4.96,1
.692,.768,4.95,4.67,0
.686,.770,5.04,4.54,0
.690,.767,4.97,4.59,1
.694,.782,4.41,4.31,0
.692,.779,4.40,4.28,0
.692,.784,4.54,4.29,0
.715,.775,4.38,4.12,1
.715,.772,4.36,4.09,1
.714,.780,4.45,4.06,0
.720,.784,4.47,4.16,1
.744,.788,4.48,3.81,1
.742,.786,4.48,3.78,0
.745,.786,4.47,3.83,1
.744,.789,4.41,3.79,0
.746,.790,4.42,3.81,1
.745,.788,4.41,3.81,1
.868,.659,5.54,4.60,1
.857,.654,5.14,5.02,1
.802,.664,4.60,4.28,0
.795,.671,5.13,3.56,1
.792,.662,4.81,3.63,1
.764,.682,4.82,3.58,0
.750,.683,4.75,3.54,0
.840,.718,4.13,3.63,0
.846,.724,4.24,3.72,0
.842,.723,4.19,3.73,1
.850,.726,4.41,3.53,0
.851,.722,4.35,3.58,1
.847,.722,4.36,3.59,0
.820,.761,4.08,3.89,1
.818,.760,4.07,3.88,0
.819,.760,4.10,3.93,1
.813,.757,4.01,3.80,1
.812,.755,4.01,3.80,0
.810,.755,4.00,3.78,0
.774,.629,4.14,4.76,1
.753,.614,3.90,4.42,0
.738,.599,3.69,4.36,1
.756,.727,3.86,4.25,1
.757,.725,3.83,4.29,1
.765,.722,3.79,4.42,1
.747,.723,3.72,4.51,0
.746,.722,3.70,4.49,1
.745,.720,3.66,4.48,1
.746,.721,3.66,4.48,0
.747,.728,3.74,4.59,1
.746,.725,3.71,4.57,1
.748,.724,3.69,4.58,1
.740,.727,3.79,4.53,0
.737,.724,3.75,4.48,1
.738,.721,3.73,4.49,1
.738,.726,3.61,4.43,0
.737,.729,3.64,4.42,0
.739,.730,3.66,4.46,1
.798,.725,2.85,3.97,0
.796,.716,2.85,3.97,1
.793,.718,2.90,4.01,1
.784,.733,3.63,4.40,0
.785,.730,3.59,4.41,1
.783,.731,3.58,4.43,1
.793,.718,3.58,4.63,1
.799,.717,3.55,4.70,1
.801,.714,3.56,4.72,1
.800,.727,3.53,4.53,1
.800,.732,3.63,4.52,0
.801,.730,3.61,4.53,1
.801,.729,3.59,4.52,1
.795,.741,3.45,4.70,1
.798,.741,3.46,4.75,1
.798,.743,3.50,4.75,0
.792,.744,3.65,4.88,1
.790,.741,3.62,4.86,1
.791,.740,3.62,4.85,1
.690,.588,6.35,2.77,0
.701,.614,6.32,2.88,1
.773,.646,4.26,4.00,1
.775,.654,4.39,3.98,0
.774,.657,4.37,3.99,1
.778,.654,4.32,4.07,1
.789,.681,4.22,4.84,1
.790,.682,4.25,4.86,0
.786,.685,4.27,4.80,0
.805,.706,4.54,4.96,1
.803,.711,4.57,4.93,0
.803,.715,4.60,4.97,1
.807,.705,4.61,4.92,1
.808,.710,4.65,4.91,0
.810,.710,4.65,4.92,1
.809,.706,4.60,4.93,1
.818,.724,4.65,4.73,0
.814,.725,4.68,4.70,0
.814,.725,4.66,4.70,1
.748,.644,5.10,4.02,1
.723,.647,4.87,3.76,0
.716,.642,4.74,3.79,1
.748,.761,5.92,4.04,1
.740,.771,6.05,3.93,0
.744,.749,6.13,3.52,0
.750,.756,6.14,3.63,0
.748,.755,6.06,3.64,1
.762,.765,6.11,3.76,1
.769,.774,6.21,3.87,0
