Wops,Nops,Wera,Nera
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
.822,.651,8.02,2.80
.885,.687,7.53,3.67
.850,.682,7.14,3.29
.824,.731,6.00,3.41
.793,.719,5.71,3.25
.793,.728,5.67,3.30
.812,.725,5.56,3.60
.772,.689,4.14,3.94
.768,.685,4.13,3.90
.762,.691,4.15,3.86
.776,.735,4.36,4.60
.775,.734,4.34,4.59
.775,.731,4.32,4.59
.761,.722,4.28,4.62
.760,.721,4.26,4.62
.760,.722,4.27,4.61
.758,.716,4.27,4.61
.759,.718,4.27,4.62
.757,.718,4.25,4.60
.776,.748,3.99,4.66
.775,.749,4.04,4.63
.783,.750,4.03,4.71
.783,.757,4.18,4.70
.766,.769,4.31,4.32
.773,.771,4.33,4.46
.774,.771,4.34,4.48
.781,.742,4.22,4.54
.781,.741,4.22,4.55
.783,.737,4.16,4.60
.770,.768,4.28,4.40
.770,.766,4.28,4.38
.768,.770,4.31,4.35
.766,.773,4.33,4.33
.803,.674,4.72,3.02
.791,.669,4.56,2.97
.807,.676,4.46,3.29
.807,.662,4.29,3.36
.786,.680,4.25,4.26
.779,.687,4.29,4.21
.784,.681,4.22,4.36
