Wops(A),Pops(A),Wera(D),Pera(D),winsW
.688,.687,3.31,4.02,0
.687,.682,3.28,3.99,1
.687,.681,3.25,3.97,1
.706,.674,3.51,4.17,1
.706,.673,3.51,4.16,1
.710,.675,3.54,4.21,1
.714,.674,3.53,4.25,1
.796,.590,2.44,5.05,1
.780,.585,2.45,4.90,0
.767,.618,2.66,4.40,0
.772,.616,2.65,4.46,1
.778,.613,2.62,4.58,1
.780,.638,3.19,4.32,0
.758,.738,4.07,4.60,1
.758,.737,4.03,4.61,1
.761,.736,4.01,4.63,1
.780,.741,3.98,4.74,1
.778,.738,3.95,4.72,1
.781,.743,4.01,4.79,1
.780,.742,4.02,4.77,0
.724,.781,3.51,2.76,0
.742,.801,3.89,3.43,1
.765,.783,3.47,3.57,0
.760,.780,3.44,3.53,1
.757,.780,3.46,3.47,0
.761,.750,3.70,3.72,1
.939,.795,6.21,6.27,0
.925,.817,6.31,5.79,0
.881,.843,6.75,5.47,0
.785,.801,3.88,4.28,1
.781,.798,3.86,4.25,0
.783,.797,3.88,4.24,0
.784,.798,3.92,4.24,1
