Wops(A),Pops(A),Wera(D),Pera(D),winsW
.692,.653,3.33,3.94,0
.689,.653,3.34,3.91,0
.690,.649,3.31,3.90,1
.700,.684,3.39,4.03,1
.701,.683,3.38,4.05,1
.698,.685,3.38,4.02,0
.776,.714,3.31,4.02,0
.773,.713,3.31,3.98,0
.774,.711,3.29,4.02,1
.773,.709,3.26,4.01,1
.758,.727,4.04,4.56,0
.760,.727,4.02,4.59,1
.761,.726,4.01,4.59,1
.763,.725,4.00,4.61,1
.769,.728,3.38,5.32,1
.773,.726,3.39,5.41,1
.765,.723,3.41,5.35,0
.746,.713,3.70,4.73,0
.746,.712,3.69,4.74,1
.747,.710,3.67,4.75,1
.783,.716,3.88,4.94,0
.786,.719,3.87,4.98,1
.789,.725,4.09,5.08,1
.788,.726,4.09,5.03,0
.737,.796,4.42,3.84,0
.732,.814,4.52,3.84,0
.728,.807,4.39,3.79,1
.704,.774,3.82,3.71,1
.702,.777,3.92,3.72,0
.705,.779,3.99,3.81,1
