Wops(A),Pops(A),Wera(D),Pera(D),winsW
.696,.673,4.00,3.88,1
.674,.656,3.86,3.66,0
.705,.626,3.38,3.74,1
.713,.641,3.88,4.02,1
.706,.640,3.77,3.86,1
.710,.721,3.70,4.18,1
.710,.721,3.66,4.17,0
.714,.721,3.65,4.18,1
.711,.718,3.59,4.13,1
.687,.714,3.28,4.08,0
.689,.712,3.26,4.07,1
.686,.714,3.32,4.04,0
.688,.716,3.32,4.06,1
.710,.712,3.59,4.16,0
.710,.712,3.59,4.17,1
.711,.713,3.59,4.17,0
.718,.710,3.44,4.31,1
.720,.709,3.43,4.35,1
.720,.709,3.41,4.35,1
.812,.754,2.59,3.05,1
.815,.741,2.51,3.86,1
.820,.720,2.34,4.27,1
.767,.687,2.08,5.31,1
.776,.676,2.02,5.41,1
.771,.716,2.65,5.39,0
.793,.694,2.51,5.58,1
.782,.702,2.90,5.41,1
.778,.697,2.86,5.38,1
.782,.698,2.85,5.42,1
.782,.695,3.11,5.53,1
.783,.698,3.16,5.52,0
.782,.698,3.19,5.49,0
.769,.722,3.11,4.89,1
.769,.721,3.10,4.90,1
.771,.720,3.09,4.93,1
.772,.724,3.12,4.90,1
.771,.725,3.15,4.89,0
.772,.724,3.15,4.91,1
.735,.734,3.61,3.37,1
.754,.750,3.81,3.84,1
.747,.743,3.90,3.85,0
.728,.776,3.88,4.38,1
.726,.773,3.91,4.41,1
.731,.772,3.94,4.48,1
.737,.781,4.05,5.26,0
.738,.781,4.06,5.23,0
.741,.776,4.04,5.24,1
.767,.767,3.97,5.32,1
.765,.766,3.95,5.28,0
.766,.767,3.97,5.30,1
.771,.769,4.03,5.34,0
.772,.775,4.05,5.42,1
.772,.774,4.04,5.44,1
.772,.773,4.04,5.41,0
.777,.763,3.99,5.17,1
.778,.762,3.96,5.19,1
.775,.761,3.95,5.17,0
.660,.692,3.14,5.25,0
.763,.703,3.40,4.88,1
.766,.702,3.41,4.83,0
.770,.695,3.33,4.94,1
.774,.689,3.28,4.92,1
.757,.725,3.17,4.82,0
.754,.728,3.21,4.80,0
.753,.732,3.32,4.76,0
.754,.736,3.39,4.78,0
.775,.738,3.55,4.62,0
.776,.738,3.59,4.65,1
.776,.738,3.60,4.66,1
.759,.739,3.71,4.71,1
.759,.737,3.69,4.70,1
.761,.738,3.71,4.72,1
.763,.736,3.68,4.73,1
.752,.743,3.69,4.74,1
.750,.741,3.66,4.71,1
.749,.740,3.65,4.69,0
.795,.678,3.38,3.35,1
.794,.683,3.44,3.35,0
.784,.687,3.46,3.32,0
.803,.684,3.69,3.49,0
.808,.692,3.73,3.59,1
.807,.699,3.82,3.56,0
.782,.718,3.95,3.64,0
.782,.716,3.90,3.66,1
.784,.717,3.94,3.69,0
.794,.726,4.07,3.84,0
.794,.725,4.06,3.84,1
.794,.724,4.03,3.85,1
.790,.741,3.99,4.09,1
.788,.741,4.00,4.07,0
.787,.750,4.06,4.04,0
.787,.748,4.05,4.06,1
.791,.740,4.02,4.21,1
.789,.739,4.02,4.20,0
.787,.739,4.01,4.18,0
.798,.730,4.00,4.25,1
.845,.739,4.20,5.00,1
.813,.800,5.43,4.50,0
.738,.731,4.62,3.87,0
.736,.729,4.50,3.87,1
.740,.736,4.58,3.90,0
.752,.729,4.47,4.09,1
.737,.718,4.27,4.16,1
.726,.712,4.24,4.06,0
.733,.713,4.24,4.17,1
