Wops(A),Pops(A),Wera(D),Pera(D),winsW
.422,.905,2.77,1.70,0
.641,.889,3.34,2.93,1
.644,.870,3.68,3.11,1
.685,.766,3.47,4.94,1
.685,.767,3.51,4.91,0
.686,.764,3.49,4.90,1
.781,.913,2.41,6.57,0
.796,.892,2.37,6.59,1
.762,.870,2.34,6.03,0
.778,.796,3.13,4.89,0
.779,.794,3.12,4.91,1
.778,.797,3.15,4.90,0
.736,.764,4.00,4.26,0
.735,.758,3.92,4.31,1
.724,.750,3.87,4.19,0
.731,.770,4.00,4.04,0
.727,.772,4.02,4.01,0
.722,.776,4.10,3.96,0
.729,.773,4.11,4.02,1
.781,.676,3.96,4.77,1
.770,.674,4.04,4.64,0
.774,.687,4.14,4.83,1
.746,.676,3.33,4.52,1
.736,.675,3.32,4.40,0
.730,.693,3.48,4.32,0
.800,.784,3.83,4.99,1
.801,.784,3.89,5.07,1
.795,.780,3.87,5.00,0
.796,.773,3.82,4.97,0
.793,.777,3.91,4.94,0
.796,.774,3.87,4.99,1
