Wops(A),Pops(A),Wera(D),Pera(D),winsW
.715,.773,3.49,3.37,1
.710,.767,3.44,3.33,1
.710,.766,3.46,3.31,0
.709,.765,3.47,3.27,0
.708,.750,3.57,3.44,0
.708,.750,3.59,3.43,0
.709,.745,3.56,3.42,1
.788,.689,2.66,3.47,1
.778,.688,2.71,3.40,0
.773,.684,2.67,3.38,1
.778,.680,2.66,3.44,1
.781,.735,3.14,3.79,1
.780,.734,3.14,3.77,0
.777,.731,3.12,3.74,0
.712,.783,2.81,2.97,1
.684,.760,2.59,2.63,0
.704,.737,2.30,2.80,1
.744,.765,3.89,3.30,0
.735,.763,3.92,3.23,0
.738,.769,4.04,3.25,0
.756,.747,3.21,3.60,0
.756,.746,3.17,3.58,1
.759,.743,3.13,3.59,1
.751,.749,3.38,3.56,0
.754,.746,3.38,3.54,1
.754,.750,3.43,3.55,0
.758,.751,3.45,3.64,1
.791,.834,4.10,4.24,1
.794,.831,4.19,4.36,1
.788,.818,4.09,4.24,0
.796,.812,3.92,3.32,0
.794,.813,3.94,3.32,0
.789,.808,3.90,3.30,1
.786,.807,3.89,3.25,0
