Wops(A),Pops(A),Wera(D),Pera(D),winsW
.703,.676,3.61,4.09,1
.702,.676,3.64,4.05,0
.703,.683,3.72,4.03,0
.699,.687,3.38,3.95,0
.698,.686,3.36,3.99,1
.695,.682,3.32,3.97,1
.774,.737,2.76,3.91,0
.776,.733,2.72,3.93,1
.778,.734,2.79,3.96,0
.774,.734,2.83,3.92,0
.772,.740,3.22,3.91,1
.772,.738,3.20,3.90,1
.771,.739,3.21,3.91,1
.729,.745,4.00,4.43,1
.733,.740,3.97,4.52,1
.735,.741,4.00,4.53,0
.752,.750,4.01,4.60,1
.749,.747,3.97,4.54,0
.749,.742,3.96,4.53,1
.748,.741,3.96,4.50,0
1.024,.739,3.00,7.00,1
.685,.583,1.75,2.77,0
.742,.618,2.78,4.25,1
.704,.647,3.50,3.40,0
.737,.622,3.41,4.79,1
.734,.622,3.40,4.78,1
.754,.626,3.41,5.02,1
.818,.628,5.19,4.94,1
.820,.620,4.85,4.89,1
.810,.607,4.55,4.95,1
.818,.604,3.90,4.77,0
.820,.602,3.78,4.78,1
.812,.597,3.67,4.69,1
.811,.595,3.60,4.68,1
