Wops(A),Pops(A),Wera(D),Pera(D),winsW
.714,.616,3.53,4.64,1
.704,.623,3.60,4.48,0
.698,.629,3.66,4.38,0
.717,.641,4.09,4.76,1
.715,.655,4.31,4.73,0
.707,.658,4.24,4.61,0
.686,.696,3.48,4.11,1
.686,.696,3.46,4.10,1
.686,.694,3.44,4.10,1
.686,.692,3.43,4.09,1
.694,.695,3.41,4.13,1
.692,.693,3.39,4.12,1
.697,.692,3.38,4.16,1
.725,.712,3.53,4.35,1
.725,.709,3.51,4.36,1
.723,.708,3.51,4.33,0
.721,.705,3.40,4.31,1
.720,.702,3.38,4.29,1
.720,.700,3.36,4.28,1
.790,.694,2.53,5.49,1
.795,.690,2.51,5.60,1
.792,.738,2.69,5.05,0
.787,.730,2.61,4.92,1
.786,.731,2.68,4.87,0
.778,.709,3.24,4.38,1
.775,.711,3.27,4.34,0
.776,.712,3.29,4.34,1
.773,.729,3.13,4.26,1
.774,.728,3.11,4.26,1
.775,.725,3.09,4.28,1
.778,.726,3.12,4.32,1
.772,.728,3.07,4.20,1
.772,.732,3.11,4.21,0
.770,.732,3.11,4.18,0
.768,.730,3.07,4.13,0
.769,.731,3.07,4.13,1
.769,.733,3.12,4.12,0
.768,.732,3.12,4.10,0
.594,.716,2.19,2.87,0
.692,.725,2.93,4.02,1
.730,.705,3.11,4.29,1
.690,.776,3.28,3.47,0
.723,.782,3.54,3.87,1
.726,.778,3.57,4.07,1
.724,.790,3.94,4.06,0
.740,.792,3.96,4.23,1
.742,.776,4.12,4.10,0
.761,.765,3.99,4.22,0
.759,.762,3.95,4.19,1
.758,.760,3.93,4.19,1
.774,.750,4.03,4.07,0
.772,.751,4.10,4.06,0
.771,.750,4.09,4.03,0
.779,.755,4.06,3.98,1
.779,.755,4.05,3.98,1
.777,.755,4.05,3.97,0
.777,.752,4.03,3.98,1
.695,.675,2.67,4.23,1
.684,.709,3.00,4.20,0
.696,.684,2.88,4.07,1
.699,.652,2.59,3.87,1
.772,.710,3.88,3.19,1
.765,.699,3.75,3.16,1
.759,.685,3.60,3.17,1
.752,.673,3.46,3.14,1
.765,.728,3.18,3.53,1
.758,.726,3.20,3.47,0
.754,.723,3.17,3.42,0
.760,.732,3.85,3.89,0
.763,.732,3.85,3.92,1
.761,.741,3.65,3.94,0
.759,.743,3.70,3.92,0
.761,.742,3.70,3.92,1
.757,.740,3.72,3.87,0
.755,.737,3.70,3.86,1
.753,.738,3.70,3.84,0
.744,.747,3.65,3.73,0
.890,.833,7.85,4.38,0
.918,.845,7.87,5.44,1
.878,.834,7.51,4.90,0
.807,.764,3.66,4.46,0
.802,.754,3.53,4.34,1
.799,.750,3.44,4.32,1
.784,.777,4.04,4.64,0
.782,.779,4.05,4.62,0
.782,.776,4.04,4.68,1
.776,.771,4.01,4.66,1
.777,.768,3.98,4.66,1
.780,.768,3.96,4.68,1
.782,.772,4.08,4.71,1
.780,.771,4.07,4.68,0
.778,.770,4.07,4.64,0
.783,.768,4.03,4.65,1
.781,.769,4.05,4.62,0
.779,.768,4.03,4.60,0
.778,.770,4.06,4.60,0
.662,.200,0.00,3.38,1
.656,.603,4.00,3.18,0
.804,.541,3.00,5.40,1
.776,.658,3.88,4.23,1
.760,.650,3.88,4.16,0
.763,.650,3.92,4.13,0
.748,.666,4.03,4.17,0
.723,.712,4.17,4.50,0
.722,.708,4.12,4.48,1
.725,.698,4.03,4.54,1
