Wops(A),Pops(A),Wera(D),Pera(D),winsW
.710,.661,4.20,2.90,1
.722,.655,4.10,3.01,1
.720,.651,4.01,2.99,1
.717,.656,4.04,3.03,1
.702,.659,3.48,3.40,1
.701,.656,3.42,3.38,1
.702,.654,3.39,3.40,1
.783,.703,2.86,3.35,0
.780,.710,2.95,3.32,0
.779,.710,2.97,3.31,0
.778,.722,3.11,3.30,0
.777,.723,3.28,3.34,1
.776,.721,3.26,3.30,0
.778,.722,3.25,3.33,1
.727,.759,4.15,4.70,0
.738,.757,4.13,4.84,1
.739,.761,4.20,4.83,0
.774,.759,4.08,4.89,1
.778,.760,4.09,4.98,1
.780,.761,4.10,5.02,1
.781,.711,3.29,4.19,1
.785,.710,3.31,4.24,1
.786,.703,3.23,4.24,1
.781,.697,3.18,4.21,1
.765,.700,3.69,4.28,1
.764,.699,3.66,4.26,1
.764,.699,3.66,4.26,1
.762,.701,3.70,4.25,0
.787,.752,3.86,4.71,1
.784,.752,3.87,4.68,0
.780,.756,3.93,4.63,0
.782,.756,3.91,4.64,1
.779,.761,4.11,4.32,1
.781,.763,4.13,4.35,1
.780,.761,4.11,4.35,1
