Wops(A),Pops(A),Wera(D),Pera(D),winsW
.688,.664,3.33,4.68,0
.683,.667,3.35,4.63,0
.684,.673,3.43,4.64,0
.718,.686,3.54,4.87,1
.720,.685,3.54,4.88,1
.720,.685,3.53,4.88,0
.720,.687,3.56,4.87,0
.788,.657,2.77,3.74,1
.788,.652,2.73,3.75,1
.790,.653,2.71,3.83,1
.775,.658,2.65,3.90,1
.770,.657,2.66,3.85,0
.773,.651,2.61,3.91,1
.745,.754,4.02,4.15,0
.761,.745,3.94,4.33,1
.759,.740,3.94,4.38,1
.761,.744,3.88,4.29,1
.771,.724,4.07,4.67,0
.776,.724,4.05,4.77,1
.774,.724,4.06,4.75,0
.778,.699,3.22,3.41,0
.778,.698,3.25,3.47,1
.775,.697,3.23,3.49,1
.760,.713,3.69,3.87,0
.761,.712,3.67,3.87,1
.763,.711,3.65,3.90,1
.796,.738,3.62,3.91,0
.795,.734,3.58,3.90,1
.799,.737,3.59,3.99,1
.802,.742,3.64,4.05,0
.786,.739,4.04,4.62,0
.783,.743,4.10,4.59,0
.784,.744,4.12,4.60,0
