Wops(A),Pops(A),Wera(D),Pera(D),winsW
.704,.622,3.68,3.03,1
.722,.637,4.01,3.38,1
.716,.636,3.97,3.29,0
.715,.649,4.00,3.34,0
.710,.632,3.57,2.98,1
.718,.624,3.49,3.10,1
.709,.640,3.71,2.95,0
.725,.663,4.17,3.21,1
.723,.666,4.08,3.24,1
.718,.666,4.05,3.16,0
.689,.698,3.40,3.17,1
.690,.701,3.42,3.19,0
.718,.720,3.56,3.19,0
.717,.718,3.55,3.18,1
.717,.716,3.52,3.17,1
.720,.718,3.54,3.20,1
.722,.723,3.51,3.21,0
.720,.723,3.51,3.19,0
.720,.720,3.49,3.20,1
.781,.816,2.43,4.17,1
.782,.799,2.33,4.28,1
.791,.797,2.32,4.34,1
.807,.794,2.68,4.43,1
.810,.784,2.66,4.55,1
.799,.778,2.64,4.45,0
.774,.754,2.62,4.36,1
.777,.754,2.63,4.36,1
.784,.755,2.66,4.45,1
.780,.748,3.24,4.33,0
.783,.751,3.34,4.34,0
.786,.751,3.36,4.36,1
.779,.731,3.14,4.08,1
.778,.729,3.11,4.07,1
.778,.729,3.13,4.09,1
.774,.738,3.09,4.19,1
.774,.737,3.10,4.19,1
.773,.739,3.13,4.18,0
.692,.628,2.47,4.53,0
.709,.661,2.97,4.57,0
.696,.670,3.14,4.20,0
.768,.669,3.75,4.15,1
.747,.658,3.56,3.94,1
.754,.673,3.65,3.99,0
.740,.717,4.21,4.41,1
.740,.718,4.20,4.39,0
.744,.714,4.15,4.42,1
.746,.706,4.07,4.23,1
.743,.706,4.06,4.21,0
.744,.710,4.10,4.19,0
.774,.711,4.04,4.26,1
.774,.710,4.01,4.26,1
.779,.708,4.01,4.35,1
.778,.712,4.08,4.29,0
.776,.712,4.09,4.28,0
.774,.710,4.06,4.25,1
.776,.710,4.04,4.28,1
.709,.818,3.09,4.21,0
.758,.812,3.26,5.03,1
.749,.832,3.47,4.70,0
.775,.743,3.30,4.13,1
.783,.747,3.36,4.20,1
.780,.748,3.34,4.14,0
.774,.740,3.20,4.28,1
.772,.733,3.15,4.25,1
.766,.734,3.21,4.20,0
.768,.738,3.77,4.20,0
.772,.737,3.75,4.22,1
.761,.733,3.82,4.20,1
.760,.732,3.79,4.18,1
.757,.732,3.79,4.15,0
.757,.732,3.77,4.12,0
.746,.724,3.67,4.03,0
.744,.724,3.69,4.00,0
.745,.726,3.70,4.01,1
.746,.724,3.67,4.01,1
.866,.715,6.70,2.93,1
.838,.718,6.43,2.84,0
.815,.689,5.86,2.61,1
.785,.757,4.10,4.90,0
.782,.757,4.12,4.85,0
.783,.759,4.14,4.86,0
.789,.756,4.13,4.93,1
.787,.761,4.07,4.91,1
.790,.763,4.07,4.97,1
.794,.762,4.06,5.01,1
.782,.750,4.11,5.01,0
.780,.748,4.08,4.99,1
.781,.747,4.06,5.00,1
.782,.754,4.04,5.10,1
.785,.753,4.02,5.17,1
.790,.753,4.04,5.24,1
.785,.743,4.04,5.24,0
.784,.744,4.05,5.22,0
.782,.745,4.07,5.21,0
.829,.541,5.08,4.35,1
.849,.548,4.82,4.37,1
.795,.540,4.28,3.92,1
.754,.623,4.49,5.02,1
.754,.626,4.42,5.05,1
.752,.632,4.42,4.93,0
.707,.618,3.87,4.93,1
.704,.617,3.85,4.87,0
.702,.619,3.83,4.80,0
.697,.631,3.89,4.71,0
