Wops(A),Pops(A),Wera(D),Pera(D),winsW
.689,.749,3.56,2.70,0
.708,.734,3.72,3.02,1
.688,.736,3.83,2.79,0
.718,.697,3.98,4.39,0
.715,.696,3.93,4.36,1
.715,.688,3.84,4.32,1
.815,.658,2.62,4.24,1
.812,.661,2.72,4.23,0
.800,.653,2.67,4.11,0
.780,.700,3.13,4.52,1
.782,.698,3.13,4.52,1
.782,.698,3.13,4.53,1
.736,.655,4.06,4.72,0
.734,.656,4.11,4.67,0
.727,.657,4.08,4.58,0
.746,.683,4.12,4.83,1
.749,.680,4.06,4.82,1
.745,.680,4.05,4.78,0
.768,.662,3.53,4.20,1
.771,.664,3.55,4.27,1
.771,.665,3.56,4.29,1
.768,.661,3.77,4.38,0
.769,.661,3.76,4.39,1
.770,.660,3.76,4.40,1
.771,.665,3.82,4.40,0
.793,.738,4.04,4.59,1
.795,.740,4.05,4.61,1
.791,.740,4.06,4.57,0
.780,.727,4.04,4.54,1
.781,.728,4.06,4.56,0
.778,.728,4.06,4.53,0
.776,.726,4.04,4.52,1
