Wops(A),Pops(A),Wera(D),Pera(D),winsW
.690,.740,3.43,3.69,1
.692,.740,3.42,3.73,1
.695,.740,3.45,3.77,1
.693,.738,3.42,3.76,1
.715,.732,3.51,3.70,1
.714,.732,3.52,3.69,0
.711,.734,3.57,3.67,0
.789,.730,2.64,3.85,1
.790,.732,2.70,3.83,0
.780,.727,2.67,3.75,0
.778,.736,3.13,3.73,1
.776,.734,3.11,3.72,1
.775,.732,3.10,3.71,0
.773,.728,3.08,3.69,1
.745,.648,4.01,4.37,0
.744,.642,3.94,4.37,1
.749,.644,3.94,4.37,1
.752,.642,3.88,4.38,1
.765,.683,3.97,4.57,1
.763,.683,3.98,4.54,0
.761,.684,3.98,4.51,0
.766,.721,3.34,4.48,1
.766,.725,3.38,4.47,0
.772,.724,3.37,4.55,1
.772,.715,3.57,4.06,0
.770,.711,3.53,4.03,1
.769,.711,3.53,4.02,0
.790,.700,4.08,4.40,0
.786,.700,4.07,4.37,0
.787,.699,4.04,4.37,1
.783,.711,4.05,4.42,1
.786,.715,4.09,4.48,1
.783,.712,4.06,4.46,1
