Wops(A),Pops(A),Wera(D),Pera(D),winsW
.456,.711,3.00,0.00,0
.395,.552,1.50,0.53,1
.711,.733,3.94,2.44,0
.712,.742,4.08,2.46,0
.716,.742,4.00,2.59,1
.708,.742,4.02,2.53,0
.710,.730,3.45,2.65,0
.708,.733,3.51,2.63,0
.706,.733,3.53,2.61,0
.692,.716,3.32,2.56,0
.695,.716,3.33,2.60,1
.694,.714,3.33,2.62,1
.694,.714,3.36,2.65,0
.717,.713,3.55,2.77,1
.719,.714,3.56,2.81,1
.718,.713,3.56,2.81,0
.722,.714,3.52,2.90,1
.723,.713,3.52,2.92,1
.722,.713,3.53,2.92,0
.758,.842,2.16,3.87,1
.738,.827,2.08,3.73,1
.723,.826,2.22,3.68,0
.776,.804,2.70,3.99,0
.783,.800,2.69,4.17,1
.783,.803,2.81,4.27,1
.782,.785,2.67,4.00,0
.780,.784,2.69,3.98,0
.776,.783,2.73,3.95,0
.770,.772,3.10,4.00,1
.776,.771,3.10,4.08,1
.775,.771,3.14,4.07,0
.774,.772,3.15,4.07,0
.767,.771,3.08,4.03,1
.766,.772,3.09,4.01,0
.767,.769,3.07,4.04,1
.771,.764,3.07,4.06,1
.771,.766,3.11,4.06,0
.771,.764,3.10,4.05,1
.631,.889,4.15,3.00,0
.555,.645,2.04,2.50,1
.609,.606,2.36,3.67,1
.725,.752,3.79,3.75,1
.722,.754,3.81,3.72,0
.715,.763,3.85,3.62,0
.726,.727,4.04,3.68,1
.726,.725,4.02,3.71,1
.730,.724,4.06,3.78,1
.761,.750,4.09,3.86,0
.759,.748,4.06,3.85,1
.759,.748,4.05,3.87,1
.779,.764,4.09,3.88,1
.780,.763,4.07,3.89,1
.781,.763,4.06,3.89,1
.778,.764,4.01,3.98,1
.779,.767,4.03,3.99,0
.779,.765,4.01,4.00,1
.777,.763,3.99,3.98,1
.737,.735,3.96,3.22,0
.754,.720,3.90,3.51,1
.724,.713,3.38,3.28,0
.726,.713,3.49,3.36,0
.720,.714,3.45,3.26,0
.761,.708,3.18,3.72,1
.762,.708,3.18,3.74,1
.758,.710,3.19,3.68,0
.772,.717,3.57,3.89,1
.774,.726,3.72,3.91,0
.776,.724,3.70,3.94,1
.774,.725,3.72,3.91,0
.775,.724,3.70,3.95,1
.768,.724,3.75,3.92,0
.767,.724,3.77,3.90,0
.768,.722,3.76,3.88,1
.745,.732,3.66,3.84,1
.743,.729,3.65,3.82,0
.745,.730,3.65,3.85,1
.805,.775,3.75,4.04,1
.804,.777,3.79,4.08,1
.815,.778,3.83,4.36,1
.805,.746,3.88,4.38,0
.803,.750,3.94,4.38,0
.797,.746,3.90,4.32,0
.795,.738,3.83,4.23,1
.797,.734,3.83,4.31,1
.797,.733,3.78,4.32,1
.780,.725,4.02,4.12,0
.779,.724,3.98,4.08,1
.774,.726,4.02,4.04,0
.785,.734,4.02,3.79,0
.785,.733,4.00,3.77,0
.786,.736,4.03,3.80,0
.786,.736,4.03,3.78,0
.784,.735,4.05,3.79,1
.786,.735,4.07,3.82,1
.783,.737,4.10,3.80,0
.741,.660,4.02,3.75,0
.742,.678,4.06,3.87,1
.756,.679,4.02,4.14,1
.754,.708,4.28,4.12,0
.749,.688,4.18,4.19,1
.752,.727,4.33,3.59,1
.750,.722,4.34,3.56,0
.746,.727,4.40,3.50,0
.743,.734,4.47,3.48,0
.744,.728,4.38,3.48,1
