Wops(A),Pops(A),Wera(D),Pera(D),winsW
.705,.742,3.78,3.64,0
.709,.742,3.74,3.60,1
.705,.742,3.71,3.53,0
.699,.723,3.66,3.80,1
.701,.728,3.73,3.82,0
.698,.726,3.70,3.83,1
.703,.722,3.67,3.86,1
.792,.718,2.31,2.45,1
.806,.720,2.44,2.65,1
.813,.719,2.53,2.83,1
.810,.716,2.48,2.80,1
.772,.754,2.63,3.19,0
.770,.750,2.64,3.21,1
.771,.747,2.66,3.20,0
.749,.819,3.96,4.15,1
.744,.818,3.98,4.11,0
.743,.822,4.04,4.10,0
.743,.820,4.04,4.11,1
.761,.810,3.96,4.09,0
.762,.809,3.94,4.12,1
.764,.810,3.99,4.12,0
.766,.742,3.79,3.82,1
.765,.745,3.83,3.82,0
.763,.742,3.82,3.83,1
.760,.745,3.68,4.02,1
.759,.744,3.71,4.01,0
.759,.745,3.73,4.02,0
.753,.745,3.70,3.99,1
.802,.715,3.52,4.96,1
.794,.720,3.56,4.87,0
.796,.721,3.59,4.88,1
.779,.795,4.10,4.36,0
.779,.795,4.12,4.34,0
.778,.794,4.13,4.34,0
