Wops(A),Pops(A),Wera(D),Pera(D),winsW
.677,.766,3.94,3.98,0
.680,.765,3.92,4.03,1
.681,.766,3.99,4.02,0
.691,.744,4.01,3.96,0
.692,.744,3.99,3.97,1
.689,.743,3.98,3.95,0
.689,.745,3.99,3.93,0
.730,.679,3.13,4.42,1
.724,.676,3.11,4.32,0
.728,.683,3.17,4.34,0
.721,.701,3.98,4.43,1
.718,.709,4.01,4.37,0
.716,.707,3.97,4.39,1
.659,.800,2.67,3.19,0
.641,.773,2.55,3.17,1
.634,.797,3.03,3.02,0
.735,.807,4.27,3.87,0
.734,.804,4.25,3.87,1
.733,.806,4.31,3.86,0
.731,.804,4.28,3.84,1
.709,.784,4.97,3.68,0
.706,.782,4.94,3.66,0
.706,.781,4.96,3.66,0
.715,.782,4.82,3.68,1
.713,.783,4.82,3.68,0
.713,.780,4.80,3.68,1
.698,.820,6.55,3.96,0
.709,.790,6.20,4.04,1
.711,.780,4.92,4.01,1
.718,.779,4.88,4.08,1
.716,.781,4.93,4.07,0
.717,.782,5.00,4.06,0
