Wops(A),Pops(A),Wera(D),Pera(D),winsW
.686,.702,3.93,4.33,1
.681,.700,3.95,4.23,0
.696,.697,3.95,4.39,1
.685,.704,4.01,4.21,0
.698,.715,3.98,4.36,0
.700,.716,3.95,4.33,1
.706,.705,3.86,4.36,1
.715,.618,5.51,4.65,1
.710,.617,5.44,4.63,1
.708,.624,5.42,4.61,0
.707,.626,5.44,4.58,0
.694,.649,5.39,4.33,1
.696,.649,5.35,4.32,0
.698,.650,5.32,4.34,1
.777,.738,4.83,4.55,1
.774,.740,4.80,4.51,0
.780,.748,4.93,4.58,0
.771,.732,5.32,4.77,1
.773,.735,5.33,4.81,1
.772,.738,5.36,4.78,0
.620,.762,5.43,3.56,1
.634,.764,5.42,3.68,1
.645,.766,5.36,3.69,0
.642,.778,5.42,3.70,0
.734,.756,4.76,3.66,0
.734,.756,4.74,3.68,1
.735,.753,4.73,3.71,1
.651,.814,3.35,4.73,1
.642,.811,3.29,4.57,0
.642,.808,3.24,4.56,1
.738,.794,4.01,4.30,1
.736,.794,4.02,4.29,0
.737,.795,4.02,4.31,1
