Wops(A),Pops(A),Wera(D),Pera(D),winsW
.698,.730,4.46,4.23,0
.697,.725,4.42,4.15,0
.693,.725,4.39,4.10,0
.713,.702,4.04,3.80,1
.712,.706,4.10,3.80,0
.712,.706,4.08,3.78,0
.701,.714,5.34,3.84,0
.694,.726,5.56,3.76,0
.695,.726,5.55,3.81,0
.690,.730,5.58,3.76,0
.784,.728,4.69,3.92,1
.787,.732,4.74,3.99,0
.782,.735,4.70,3.99,1
.768,.772,5.26,3.71,0
.741,.760,4.66,3.96,1
.740,.759,4.64,3.99,1
.742,.766,4.74,3.99,0
.736,.773,4.75,3.82,0
.734,.773,4.77,3.80,0
.734,.772,4.77,3.79,0
.701,.695,3.60,3.89,0
.707,.694,3.58,3.94,1
.715,.731,3.69,3.96,0
.712,.739,3.77,3.92,0
.752,.558,3.60,2.44,1
.736,.551,3.45,2.40,0
.713,.546,3.35,2.21,0
.686,.586,4.17,2.05,0
