Wops(A),Pops(A),Wera(D),Pera(D),winsW
.698,.740,4.36,4.97,0
.696,.736,4.28,4.91,1
.694,.737,4.32,4.89,0
.718,.759,4.08,4.90,0
.719,.756,4.05,4.89,1
.721,.764,4.19,4.91,0
.707,.860,4.90,5.56,0
.710,.837,4.76,5.49,1
.716,.828,4.78,5.55,1
.683,.777,5.59,5.15,1
.686,.798,5.83,5.11,0
.689,.794,5.73,5.10,1
.701,.793,5.70,5.22,1
.774,.755,4.67,4.21,0
.782,.756,4.75,4.40,1
.784,.763,4.77,4.39,0
.774,.755,5.24,4.47,0
.777,.753,5.19,4.52,1
.776,.752,5.20,4.49,0
.780,.751,5.17,4.50,1
.691,.691,4.83,4.37,0
.695,.696,4.83,4.40,1
.695,.705,4.90,4.36,0
.711,.722,5.07,4.73,0
.712,.722,5.07,4.70,0
.712,.722,5.01,4.71,1
.710,.780,3.77,5.12,0
.723,.784,3.82,5.25,1
.724,.785,3.85,5.29,0
.736,.780,4.01,5.50,0
.736,.777,3.98,5.48,1
.736,.777,3.96,5.47,1
